Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,8.0,9.4375,7.5,9.3125,3.794947624206543,3904000
1985-02-01,9.28125,9.8125,9.03125,9.15625,3.7312755584716797,2400800
1985-03-01,9.15625,9.28125,8.1875,8.46875,3.4511117935180664,1990800
1985-04-01,8.46875,8.65625,8.15625,8.5625,3.489312171936035,2192400
1985-05-01,8.53125,8.5625,7.6875,7.9375,3.2346224784851074,4881200
1985-06-01,7.9375,8.4375,7.53125,7.78125,3.1709470748901367,5023200
1985-07-01,7.78125,9.25,7.5,8.8125,3.5911927223205566,3948000
1985-08-01,8.875,9.0625,8.125,8.375,3.4129066467285156,2751600
1985-09-01,8.375,8.53125,7.53125,7.53125,3.0690701007843018,2756000
1985-10-01,7.65625,8.78125,7.65625,8.625,3.5147862434387207,3594400
1985-11-01,8.625,9.125,8.4375,9.0,3.667602300643921,2293600
1985-12-01,9.0,9.53125,8.71875,9.21875,3.756742238998413,3063600
1986-01-01,9.21875,9.46875,8.625,9.03125,3.680335283279419,4456800
1986-02-01,9.03125,10.75,8.96875,10.53125,4.291603088378906,3902000
1986-03-01,10.53125,11.6875,10.0,11.46875,4.673645973205566,4171600
1986-04-01,11.5,11.875,10.53125,10.53125,4.291603088378906,3003600
1986-05-01,10.5,11.53125,10.40625,11.15625,4.546297550201416,1847600
1986-06-01,11.125,11.125,10.375,10.8125,4.406214237213135,3689600
1986-07-01,10.8125,10.8125,9.1875,9.40625,3.8331542015075684,4242800
1986-08-01,9.40625,9.78125,9.03125,9.65625,3.9350295066833496,3214800
1986-09-01,9.75,10.28125,9.0625,9.1875,3.7440083026885986,3799600
1986-10-01,9.25,9.96875,9.1875,9.75,3.973233938217163,2295200
1986-11-01,9.75,10.0,9.28125,9.3125,3.794947624206543,2500800
1986-12-01,9.3125,10.375,9.3125,10.28125,4.189723968505859,3712400
1987-01-01,10.28125,11.8125,10.28125,11.78125,4.800994396209717,2482400
1987-02-01,11.875,13.25,11.875,13.0,5.297645092010498,3135600
1987-03-01,13.0,13.0625,11.5,11.9375,4.864665985107422,5479000
1987-04-01,11.9375,12.75,10.375,11.4375,4.660909652709961,3265200
1987-05-01,11.4375,12.125,10.9375,12.0,4.890135288238525,3508000
1987-06-01,12.0,13.125,11.875,12.5,5.0938897132873535,2416800
1987-07-01,12.5,14.25,12.5,13.6875,5.577810287475586,5209400
1987-08-01,13.6875,14.625,13.25,14.1875,5.781566143035889,2927400
1987-09-01,14.1875,14.3125,12.1875,12.5,5.0938897132873535,3908000
1987-10-01,12.625,13.125,7.5625,9.625,3.9222936630249023,7808000
1987-11-01,9.625,9.6875,7.875,9.3125,3.794947624206543,6138600
1987-12-01,9.3125,11.0,8.4375,10.625,4.354189395904541,4800400
