Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,4.625,6.75,4.375,6.375,2.2136497497558594,6049400
1985-02-01,6.375,6.875,5.875,6.0,2.083434820175171,1806800
1985-03-01,6.0,7.0,6.0,6.875,2.3872687816619873,3125400
1985-04-01,6.375,7.0,6.125,6.625,2.300459146499634,4126600
1985-05-01,6.625,7.0,6.5,7.0,2.430673360824585,3330700
1985-06-01,7.0,8.375,6.75,8.125,2.8213183879852295,3205800
1985-07-01,8.125,8.875,7.375,7.75,2.691102981567383,3120000
1985-08-01,7.875,8.0,7.125,7.5,2.604292154312134,2842300
1985-09-01,7.5,7.5,6.75,6.875,2.3872687816619873,1872100
1985-10-01,6.875,7.5,6.5,7.25,2.5174829959869385,3149200
1985-11-01,7.25,8.25,7.25,8.125,2.8213183879852295,4161600
1985-12-01,8.125,8.375,7.25,7.5,2.604292154312134,5169000
1986-01-01,7.625,11.5,7.5,10.5,3.6460092067718506,6935900
1986-02-01,10.625,12.625,10.25,12.125,4.210272789001465,4672200
1986-03-01,12.0,14.0,11.75,13.875,4.8179426193237305,7315900
1986-04-01,13.875,14.0,11.625,12.625,4.3838934898376465,7250200
1986-05-01,12.125,12.75,11.75,12.25,4.253676414489746,4701400
1986-06-01,12.375,13.875,11.5,11.875,4.123465538024902,7097100
1986-07-01,11.875,12.5,11.375,11.875,4.123465538024902,5486000
1986-08-01,11.75,12.625,11.375,12.5,4.340490818023682,5167700
1986-09-01,12.5,14.25,9.625,13.0,4.514109134674072,7218100
1986-10-01,13.0,16.0,12.5,15.125,5.251993656158447,8233700
1986-11-01,15.25,16.75,15.125,16.0,5.555824279785156,7008400
1986-12-01,16.0,17.375,15.125,15.625,5.425609111785889,9345700
1987-01-01,15.625,17.625,15.5,17.375,6.033279895782471,5616000
1987-02-01,17.375,18.125,16.5,17.875,6.206899166107178,4020900
1987-03-01,17.875,20.0,17.375,18.5,6.423923969268799,5900900
1987-04-01,18.25,19.375,17.125,18.875,6.554136276245117,6235500
1987-05-01,18.75,19.625,17.5,18.75,6.510731220245361,5931600
1987-06-01,19.0,19.625,18.0,18.5,6.423923969268799,4913500
1987-07-01,18.625,19.0,15.25,16.75,5.81625509262085,9403500
1987-08-01,16.875,18.0,16.25,17.375,6.033279895782471,3753400
1987-09-01,17.375,17.375,15.625,15.875,5.512419700622559,3267000
1987-10-01,15.875,17.0,10.75,14.125,4.904751777648926,5454800
1987-11-01,14.125,15.0,13.0,13.125,4.557514667510986,2544900
1987-12-01,13.25,14.375,12.375,13.5,4.687729358673096,2975500
1988-01-01,13.75,15.125,13.5,14.875,5.165182590484619,2460500
1988-02-01,14.875,17.25,14.625,16.75,5.81625509262085,3181700
1988-03-01,16.875,18.25,16.375,16.75,5.81625509262085,2440700
1988-04-01,16.5,18.125,16.125,18.125,6.293710708618164,3307300
