Date,Open,High,Low,Close,Adj Close,Volume
1983-02-01,0.0,9.0,8.578125,8.625,7.834549427032471,3530667
1983-03-01,0.0,8.8125,7.875,8.390625,7.6216535568237305,2093332
1983-04-01,0.0,8.53125,8.0625,8.203125,7.451337814331055,1297600
1983-05-01,0.0,9.9375,7.96875,9.46875,8.600968360900879,2498134
1983-06-01,0.0,11.53125,9.28125,10.6875,9.708026885986328,2587732
1983-07-01,0.0,10.78125,8.25,8.34375,7.579073905944824,1617066
1983-08-01,0.0,10.03125,8.25,8.578125,7.791973114013672,1371733
1983-09-01,0.0,9.75,7.828125,8.0625,7.323602676391602,1682132
1983-10-01,0.0,8.0625,6.140625,6.65625,6.046230316162109,1508001
1983-11-01,0.0,7.125,5.390625,7.078125,6.429440975189209,2001065
1983-12-01,0.0,7.078125,5.390625,5.71875,5.194648265838623,2900801
1984-01-01,5.71875,6.84375,5.296875,5.953125,5.40754508972168,4884534
1984-02-01,5.953125,6.0,5.203125,5.34375,4.854013442993164,1943467
1984-03-01,5.34375,5.671875,4.453125,4.875,4.428225040435791,3235198
1984-04-01,4.828125,9.140625,4.546875,9.140625,8.345019340515137,29292798
1984-05-01,9.140625,9.328125,8.859375,9.0,8.216638565063477,8914134
1984-06-01,8.953125,9.09375,8.4375,8.625,7.8742756843566895,7805333
1984-07-01,8.71875,8.859375,5.953125,6.65625,6.0768890380859375,18786666
1984-08-01,6.609375,7.875,6.328125,7.546875,6.889991760253906,12555734
1984-09-01,7.640625,7.96875,7.125,7.265625,6.633220195770264,4034132
1984-10-01,7.171875,7.828125,6.234375,6.421875,5.862913131713867,5181066
1984-11-01,6.46875,6.890625,5.953125,6.09375,5.563347339630127,5330666
1984-12-01,6.046875,6.328125,5.625,6.1875,5.648939609527588,4381334
1985-01-01,6.140625,7.59375,6.046875,7.171875,6.586664199829102,9459466
1985-02-01,7.171875,8.71875,7.03125,8.390625,7.705968379974365,12157068
1985-03-01,8.390625,8.765625,8.015625,8.296875,7.619865894317627,5136800
1985-04-01,8.25,8.859375,7.734375,8.625,7.921217441558838,4827733
1985-05-01,8.625,10.078125,8.484375,9.84375,9.040517807006836,8915467
1985-06-01,9.890625,10.125,8.765625,9.421875,8.653071403503418,4912801
1985-07-01,9.421875,9.9375,8.90625,9.1875,8.469931602478027,7254134
1985-08-01,9.1875,9.234375,8.203125,8.765625,8.081007957458496,3391203
1985-09-01,8.8125,9.140625,7.875,8.296875,7.648867607116699,2840267
1985-10-01,8.25,9.75,8.0625,9.75,9.030259132385254,6170398
1985-11-01,9.75,10.78125,9.046875,10.359375,9.594646453857422,5939203
1985-12-01,10.171875,10.734375,9.609375,10.21875,9.46440601348877,5985334
1986-01-01,10.21875,10.40625,9.0,9.328125,8.671642303466797,6504801
1986-02-01,9.46875,9.75,8.0625,9.1875,8.540915489196777,6779465
1986-03-01,9.328125,10.6875,8.8125,10.21875,9.499588012695312,8241065
1986-04-01,10.3125,10.6875,9.65625,9.84375,9.189066886901855,5880000
1986-05-01,9.890625,9.984375,8.53125,8.90625,8.313920021057129,5921865
1986-06-01,8.90625,10.03125,8.25,9.0,8.401433944702148,6902668
1986-07-01,9.0,9.0,5.390625,6.140625,5.7568583488464355,8686133
1986-08-01,6.328125,7.359375,5.625,7.125,6.679710388183594,5910398
1986-09-01,7.03125,8.765625,6.28125,8.4375,7.91018533706665,11150132
1986-10-01,8.390625,9.84375,8.15625,9.234375,8.70217227935791,14917602
1986-11-01,9.28125,9.375,6.75,7.921875,7.465313911437988,14355731
1986-12-01,7.78125,8.34375,6.421875,6.5625,6.1842851638793945,7134399
1987-01-01,6.609375,7.3125,6.375,7.125,6.747481346130371,4945067
1987-02-01,7.078125,7.3125,5.8125,6.09375,5.770873546600342,5489065
1987-03-01,6.046875,7.40625,5.8125,6.796875,6.436743259429932,10170667
1987-04-01,6.5625,7.5,5.625,5.671875,5.371351718902588,8147999
1987-05-01,5.671875,6.140625,5.390625,5.859375,5.577518463134766,4565868
1987-06-01,5.859375,6.140625,5.34375,5.578125,5.309799671173096,4286401
1987-07-01,5.578125,6.28125,5.296875,5.765625,5.525113105773926,6053599
1987-08-01,5.8125,5.8125,5.296875,5.8125,5.570033073425293,5945334
1987-09-01,5.765625,6.75,5.625,6.75,6.4684247970581055,11225867
1987-10-01,6.84375,7.171875,2.15625,3.328125,3.2083051204681396,14682933
1987-11-01,3.375,3.75,2.953125,3.375,3.2534918785095215,10029601
1987-12-01,3.375,3.375,2.859375,3.1875,3.0727427005767822,6794135
1988-01-01,3.234375,4.59375,3.1875,4.03125,3.93170166015625,9162933
1988-02-01,4.078125,4.546875,3.65625,4.453125,4.3431596755981445,6243198
1988-03-01,4.5,5.25,4.359375,4.78125,4.663182258605957,10265864
1988-04-01,4.78125,4.921875,4.078125,4.640625,4.526027202606201,7991733
1988-05-01,4.640625,5.625,4.21875,4.453125,4.3431596755981445,21102135
1988-06-01,4.40625,4.453125,3.421875,3.75,3.6573965549468994,9636800
1988-07-01,3.703125,4.59375,3.65625,3.890625,3.794548511505127,6299198
1988-08-01,3.9375,3.984375,3.5625,3.609375,3.5202441215515137,7001601
1988-09-01,3.609375,3.84375,3.046875,3.046875,2.971635103225708,7971464
1988-10-01,3.09375,3.1875,2.25,2.34375,2.285874128341675,15422667
1988-11-01,2.296875,2.390625,1.828125,1.96875,1.9201327562332153,7048000
1988-12-01,1.921875,2.0625,1.78125,2.015625,1.965850830078125,10136799
1989-01-01,1.96875,2.015625,1.734375,1.78125,1.7372634410858154,4360001
1989-02-01,1.734375,2.015625,1.40625,1.453125,1.417241096496582,9130133
1989-03-01,1.453125,1.828125,1.40625,1.734375,1.6915456056594849,8462133
1989-04-01,1.6875,1.78125,1.546875,1.59375,1.5543935298919678,5675467
1989-05-01,1.59375,1.78125,1.453125,1.5,1.4629584550857544,8528000
1989-06-01,1.5,1.5,1.078125,1.171875,1.1429370641708374,6418401
1989-07-01,1.171875,1.265625,0.890625,0.890625,0.8686317205429077,3842132
1989-08-01,0.9375,1.171875,0.84375,1.125,1.0972191095352173,6432800
1989-09-01,1.125,1.21875,1.03125,1.125,1.0972191095352173,3431734
1989-10-01,1.125,1.125,0.796875,0.9375,0.9143491387367249,3207733
1989-11-01,0.9375,1.21875,0.84375,1.21875,1.1886537075042725,3822666
1989-12-01,1.171875,1.21875,1.03125,1.21875,1.1886537075042725,5608000
1990-01-01,1.171875,1.828125,1.171875,1.6875,1.645828366279602,5573866
1990-02-01,1.640625,1.734375,1.359375,1.40625,1.3715237379074097,1257599
1990-03-01,1.40625,1.734375,1.3125,1.6875,1.645828366279602,1374670
1990-04-01,1.640625,1.734375,1.453125,1.5,1.4629584550857544,971733
1990-05-01,1.453125,1.546875,1.359375,1.546875,1.5086764097213745,1048533
1990-06-01,1.453125,1.5,1.171875,1.453125,1.417241096496582,2034400
1990-07-01,1.359375,1.59375,1.265625,1.453125,1.417241096496582,1819198
1990-08-01,1.453125,1.453125,1.171875,1.3125,1.2800885438919067,1131464
1990-09-01,1.21875,1.265625,0.984375,1.03125,1.005784034729004,1670934
1990-10-01,1.078125,1.359375,0.9375,1.359375,1.3258068561553955,1403466
1990-11-01,1.359375,1.59375,1.265625,1.453125,1.417241096496582,1958401
1990-12-01,1.453125,1.5,1.171875,1.359375,1.3258068561553955,1284799
1991-01-01,1.453125,1.640625,1.359375,1.640625,1.600111484527588,2068533
1991-02-01,1.640625,1.96875,1.546875,1.734375,1.6915456056594849,3028001
1991-03-01,1.734375,2.0625,1.640625,1.828125,1.7829807996749878,4582935
1991-04-01,1.828125,2.296875,1.734375,1.875,1.8286982774734497,5383467
1991-05-01,1.875,2.15625,1.78125,1.78125,1.7372634410858154,3731999
1991-06-01,1.875,1.96875,1.59375,1.78125,1.7372634410858154,4538667
1991-07-01,1.734375,1.78125,1.546875,1.78125,1.7372634410858154,1676267
1991-08-01,1.78125,1.828125,1.453125,1.640625,1.600111484527588,1432534
1991-09-01,1.59375,1.78125,1.546875,1.640625,1.600111484527588,2666933
1991-10-01,1.640625,1.640625,1.125,1.171875,1.1429370641708374,2533868
1991-11-01,1.21875,1.640625,1.125,1.5,1.4629584550857544,3156535
1991-12-01,1.453125,1.453125,1.125,1.265625,1.2343714237213135,4885066
1992-01-01,1.265625,1.640625,1.171875,1.640625,1.600111484527588,7370669
1992-02-01,1.640625,1.640625,1.21875,1.265625,1.2343714237213135,3113333
1992-03-01,1.3125,1.5,1.125,1.40625,1.3715237379074097,3892797
1992-04-01,1.40625,1.40625,1.078125,1.3125,1.2800885438919067,3385867
1992-05-01,1.3125,1.3125,1.078125,1.171875,1.1429370641708374,3270399
1992-06-01,1.125,1.21875,0.84375,0.9375,0.9143491387367249,3901867
1992-07-01,0.9375,1.078125,0.890625,0.984375,0.9600663781166077,1754932
1992-08-01,0.984375,1.03125,0.796875,0.84375,0.822914183139801,1966133
1992-09-01,0.84375,0.84375,0.703125,0.796875,0.7771967649459839,1686401
1992-10-01,0.75,0.796875,0.421875,0.515625,0.502892017364502,2597866
1992-11-01,0.46875,0.515625,0.328125,0.46875,0.4571745693683624,6796001
1992-12-01,0.421875,0.515625,0.375,0.46875,0.4571745693683624,4869599
1993-01-01,0.46875,0.46875,0.375,0.421875,0.4114570915699005,1430134
1993-02-01,0.421875,0.421875,0.1875,0.2109380066394806,0.20572902262210846,10182667
1993-03-01,0.2109380066394806,0.28125,0.1875,0.234375,0.2285872846841812,1982933
1993-04-01,0.234375,0.2578130066394806,0.1523440033197403,0.1640630066394806,0.16001154482364655,3677599
1993-05-01,0.1640630066394806,0.1757809966802597,0.1289059966802597,0.1523440033197403,0.14858196675777435,2247466
1993-06-01,0.1640630066394806,0.328125,0.140625,0.140625,0.13715238869190216,4126933
1993-07-01,0.140625,0.1757809966802597,0.1054690033197403,0.1640630066394806,0.16001154482364655,2445332
1993-08-01,0.1523440033197403,0.1875,0.1289059966802597,0.1523440033197403,0.14858196675777435,2247200
1993-09-01,0.1523440033197403,0.234375,0.1289059966802597,0.234375,0.2285872846841812,2312266
1993-10-01,0.234375,0.3515630066394806,0.1875,0.2578130066394806,0.25144651532173157,5433601
1993-11-01,0.2578130066394806,0.3046880066394806,0.1875,0.234375,0.2285872846841812,7515734
1993-12-01,0.234375,0.28125,0.1875,0.2578130066394806,0.25144651532173157,6551733
1994-01-01,0.2578130066394806,0.28125,0.1640630066394806,0.2109380066394806,0.20572902262210846,4360266
1994-02-01,0.2109380066394806,0.328125,0.1757809966802597,0.28125,0.2743047773838043,6868799
1994-03-01,0.2578130066394806,0.5625,0.234375,0.375,0.3657396137714386,10929600
1994-04-01,0.3515630066394806,0.46875,0.328125,0.46875,0.4571745693683624,4818133
1994-05-01,0.421875,0.703125,0.421875,0.5625,0.5486095547676086,6506134
1994-06-01,0.515625,0.609375,0.375,0.515625,0.502892017364502,3163201
1994-07-01,0.421875,0.65625,0.375,0.65625,0.6400442719459534,6503996
1994-08-01,0.609375,1.078125,0.5625,1.03125,1.005784034729004,16266401
1994-09-01,1.03125,1.3125,0.890625,0.9375,0.9143491387367249,17363998
1994-10-01,0.984375,1.03125,0.84375,0.984375,0.9600663781166077,4259734
1994-11-01,0.984375,1.078125,0.796875,0.84375,0.822914183139801,4633334
1994-12-01,0.84375,0.984375,0.75,0.84375,0.822914183139801,5188533
1995-01-01,0.84375,1.078125,0.75,0.9375,0.9143491387367249,5847465
1995-02-01,0.890625,1.078125,0.796875,0.890625,0.8686317205429077,5149600
1995-03-01,0.890625,0.9375,0.65625,0.75,0.7314792275428772,7497599
1995-04-01,0.75,0.890625,0.703125,0.890625,0.8686317205429077,4859466
1995-05-01,0.890625,0.9375,0.703125,0.796875,0.7771967649459839,7606401
1995-06-01,0.796875,0.84375,0.65625,0.75,0.7314792275428772,6368002
1995-07-01,0.75,1.21875,0.703125,1.03125,1.005784034729004,14137600
1995-08-01,1.078125,1.40625,0.9375,1.21875,1.1886537075042725,13407202
1995-09-01,1.21875,1.265625,0.984375,1.0,0.9753059148788452,6966934
1995-10-01,0.984375,1.015625,0.734375,0.734375,0.7162401080131531,8186400
1995-11-01,0.734375,0.859375,0.703125,0.796875,0.7771967649459839,7385600
1995-12-01,0.8125,1.0,0.75,0.9375,0.9143491387367249,8588000
1996-01-01,0.9375,0.953125,0.828125,0.859375,0.8381535410881042,5206400
1996-02-01,0.859375,0.921875,0.796875,0.921875,0.8991098999977112,8595200
1996-03-01,0.9375,1.15625,0.90625,1.125,1.0972191095352173,8534400
1996-04-01,1.109375,1.390625,1.109375,1.375,1.3410453796386719,5828800
1996-05-01,1.359375,1.609375,1.3125,1.59375,1.5543935298919678,8856800
1996-06-01,1.609375,1.640625,1.40625,1.46875,1.4324802160263062,7013600
1996-07-01,1.46875,1.5,1.203125,1.359375,1.3258068561553955,3364800
