Date,Open,High,Low,Close,Adj Close,Volume
1993-08-01,22.875,24.125,22.0,24.0,4.658959865570068,1391200
1993-09-01,24.125,27.5,24.125,27.375,5.314127445220947,917400
1993-10-01,27.375,27.625,25.0,25.875,5.022940635681152,1144600
1993-11-01,25.875,26.375,23.5,24.0,4.708951473236084,628200
1993-12-01,24.0,25.25,22.625,25.25,4.95421028137207,735600
1994-01-01,25.25,25.25,23.625,24.125,4.81588888168335,539000
1994-02-01,24.375,27.0,24.0,26.5,5.289990425109863,590300
1994-03-01,26.5,26.625,25.375,25.375,5.065417766571045,252500
1994-04-01,25.125,25.125,23.75,24.375,4.947556495666504,1995900
1994-05-01,24.5,26.25,24.25,26.125,5.302764892578125,1344700
1994-06-01,26.125,26.75,24.25,24.5,4.972928524017334,899700
1994-07-01,24.5,25.75,22.875,23.0,4.749222755432129,699800
1994-08-01,23.0,24.5,22.625,23.25,4.800844669342041,758500
1994-09-01,23.375,24.25,22.875,23.5,4.8524675369262695,492100
1994-10-01,23.5,23.5,21.0,21.25,4.4706950187683105,853500
1994-11-01,21.25,22.125,20.125,21.875,4.602186679840088,653100
1994-12-01,21.75,24.875,21.75,24.875,5.233345031738281,702300
1995-01-01,24.875,25.0,23.25,23.375,5.007699489593506,646000
1995-02-01,23.5,24.0,20.75,21.25,4.552453994750977,1091900
1995-03-01,21.25,22.0,21.0,21.375,4.579230785369873,601100
1995-04-01,21.375,21.375,20.75,21.0,4.594972133636475,430700
1995-05-01,21.0,23.5,20.25,22.875,5.005238056182861,1569900
1995-06-01,22.875,23.625,21.625,21.875,4.786428451538086,593500
1995-07-01,21.875,22.75,20.875,21.0,4.692533493041992,623600
1995-08-01,20.875,22.0,20.875,21.875,4.888054847717285,660200
1995-09-01,22.0,23.25,21.75,22.125,4.943918704986572,465200
1995-10-01,22.0,22.25,20.25,20.75,4.7328948974609375,972100
1995-11-01,20.75,20.75,20.125,20.625,4.7043843269348145,780800
1995-12-01,20.625,24.0,20.625,23.75,5.417172431945801,806900
1996-01-01,23.75,24.25,23.0,24.125,5.612566947937012,709300
1996-02-01,24.0,24.75,23.375,23.625,5.496243953704834,613300
1996-03-01,23.625,24.75,22.75,23.125,5.379921913146973,403800
1996-04-01,23.125,23.875,21.75,23.75,5.636890888214111,476400
