Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,0.0,1.8203129768371582,1.6796879768371582,1.8203129768371582,1.0381596088409424,15424000
1985-02-01,0.0,1.8671879768371582,1.765625,1.78125,1.0158809423446655,9244800
1985-03-01,0.0,1.8359379768371582,1.703125,1.8125,1.0337040424346924,11720000
1985-04-01,0.0,1.90625,1.796875,1.8203129768371582,1.0381596088409424,8512000
1985-05-01,0.0,2.070312976837158,1.78125,2.070312976837158,1.1807390451431274,14718400
1985-06-01,0.0,2.09375,1.9609379768371582,2.078125,1.1851941347122192,11164800
1985-07-01,0.0,2.1875,2.054687976837158,2.148437976837158,1.2252953052520752,15430400
1985-08-01,0.0,2.226562976837158,2.101562976837158,2.164062976837158,1.2342069149017334,16492800
1985-09-01,0.0,2.195312976837158,2.054687976837158,2.078125,1.1851941347122192,19979200
1985-10-01,0.0,2.320312976837158,2.054687976837158,2.320312976837158,1.3233174085617065,11859200
1985-11-01,0.0,2.375,2.296875,2.375,1.354508638381958,17163200
1985-12-01,0.0,2.609375,2.359375,2.578125,1.4703534841537476,14934400
1986-01-01,0.0,2.679687976837158,2.570312976837158,2.679687976837158,1.52827787399292,10932800
1986-02-01,0.0,2.914062976837158,2.679687976837158,2.875,1.63966703414917,25484800
1986-03-01,0.0,3.140625,2.859375,3.046875,1.7376905679702759,18937600
1986-04-01,0.0,3.140625,2.773437976837158,3.039062976837158,1.7332359552383423,25363200
1986-05-01,0.0,3.375,3.015625,3.351562976837158,1.9114607572555542,17593600
1986-06-01,0.0,3.664062976837158,3.210937976837158,3.648437976837158,2.0807747840881348,25131200
1986-07-01,0.0,3.65625,2.875,3.15625,1.8000688552856445,20215200
1986-08-01,0.0,3.296875,2.984375,3.0625,1.7466017007827759,11554400
1986-09-01,0.0,3.171875,2.640625,2.828125,1.6129335165023804,16081600
1986-10-01,0.0,3.234375,2.640625,2.96875,1.6931360960006714,20929600
1986-11-01,0.0,3.046875,2.796875,2.9375,1.67531156539917,31085600
1986-12-01,0.0,2.96875,2.59375,2.875,1.63966703414917,16221600
1987-01-01,0.0,3.46875,2.875,3.234375,1.8566581010818481,10772800
1987-02-01,0.0,3.71875,3.265625,3.5,2.009136438369751,13338400
1987-03-01,0.0,3.9375,3.265625,3.453125,1.9822289943695068,20389600
1987-04-01,0.0,3.5625,3.09375,3.234375,1.8653836250305176,15475200
1987-05-01,0.0,3.625,3.21875,3.46875,2.0005552768707275,10984000
1987-06-01,0.0,3.75,3.359375,3.5625,2.054624080657959,8253600
1987-07-01,0.0,3.71875,3.46875,3.59375,2.083108425140381,10776800
1987-08-01,0.0,4.21875,3.578125,3.875,2.246133804321289,19427200
1987-09-01,0.0,4.015625,3.578125,3.921875,2.2733051776885986,10210400
1987-10-01,0.0,4.0625,2.4375,2.96875,1.7294070720672607,15034400
1987-11-01,0.0,2.859375,2.5,2.625,1.5291590690612793,10922400
1987-12-01,0.0,3.0,2.3125,2.9375,1.711201786994934,12859200
1988-01-01,0.0,3.15625,2.78125,2.953125,1.7329450845718384,4740000
1988-02-01,2.9375,3.203125,2.796875,3.203125,1.8796489238739014,8464000
1988-03-01,3.1875,3.46875,3.15625,3.1875,1.8704814910888672,11833600
1988-04-01,3.15625,3.453125,3.15625,3.25,1.918066382408142,9119200
1988-05-01,3.21875,3.25,2.90625,3.171875,1.8719582557678223,7462400
1988-06-01,3.203125,3.40625,2.65625,2.8125,1.6598647832870483,27274400
1988-07-01,2.78125,3.078125,2.703125,3.03125,1.800717830657959,17556800
1988-08-01,3.015625,3.171875,2.84375,2.953125,1.7543079853057861,5912800
1988-09-01,2.9375,3.171875,2.90625,3.109375,1.8471271991729736,5724000
1988-10-01,3.09375,3.375,3.0,3.265625,1.9526923894882202,16206400
1988-11-01,3.265625,3.421875,3.03125,3.1875,1.9059773683547974,12592000
1988-12-01,3.171875,3.375,3.078125,3.3125,1.9807202816009521,6221600
1989-01-01,3.296875,3.390625,3.1875,3.375,2.030557632446289,16147200
1989-02-01,3.359375,3.59375,3.3125,3.453125,2.0775609016418457,28616800
1989-03-01,3.453125,3.671875,3.3125,3.34375,2.011756420135498,15497600
1989-04-01,3.390625,3.484375,3.265625,3.484375,2.1084110736846924,12432000
1989-05-01,3.515625,3.65625,3.375,3.484375,2.1084110736846924,23533600
1989-06-01,3.484375,3.71875,3.109375,3.1875,1.9287707805633545,22286400
1989-07-01,3.1875,3.671875,3.171875,3.53125,2.1495578289031982,17860000
1989-08-01,3.53125,4.46875,3.359375,4.046875,2.4634294509887695,20450400
1989-09-01,4.015625,4.1875,3.546875,3.828125,2.330271005630493,18592000
1989-10-01,3.75,3.90625,3.171875,3.46875,2.122810125350952,17332000
1989-11-01,3.4375,3.765625,3.203125,3.515625,2.151495933532715,12063200
1989-12-01,3.5,3.625,3.28125,3.5625,2.1801841259002686,12047200
1990-01-01,3.53125,3.890625,3.078125,3.15625,1.9435535669326782,22388000
1990-02-01,3.15625,3.328125,2.984375,3.0625,1.8858250379562378,11198400
1990-03-01,3.0625,3.1875,2.9375,2.984375,1.837717056274414,7263200
1990-04-01,2.96875,2.984375,2.640625,2.71875,1.685502529144287,7225600
1990-05-01,2.75,3.1875,2.671875,3.109375,1.927672266960144,13080000
1990-06-01,3.125,3.453125,3.078125,3.28125,2.034226179122925,15477600
1990-07-01,3.28125,3.46875,3.0,3.375,2.105212450027466,9711200
1990-08-01,3.375,3.375,2.46875,2.75,1.7153581380844116,5781600
1990-09-01,2.6875,2.8125,2.296875,2.328125,1.4522064924240112,7114400
1990-10-01,2.359375,2.625,2.078125,2.546875,1.600941777229309,9586400
1990-11-01,2.53125,2.734375,2.453125,2.65625,1.6696947813034058,4540800
1990-12-01,2.6875,2.796875,2.59375,2.65625,1.6696947813034058,7316800
1991-01-01,2.6875,2.90625,2.4375,2.890625,1.8322887420654297,6660800
1991-02-01,2.859375,3.5,2.859375,3.09375,1.961044192314148,13378400
1991-03-01,3.125,3.71875,3.078125,3.40625,2.1591298580169678,15024800
1991-04-01,3.375,3.578125,3.21875,3.40625,2.1737608909606934,7450400
1991-05-01,3.40625,3.4375,3.21875,3.265625,2.0840187072753906,8197600
1991-06-01,3.25,3.46875,3.234375,3.453125,2.203674554824829,5320000
1991-07-01,3.4375,3.625,3.359375,3.609375,2.318556070327759,12616800
1991-08-01,3.578125,3.828125,3.453125,3.8125,2.449039936065674,5198400
1991-09-01,3.796875,4.1875,3.78125,4.15625,2.6698524951934814,7148800
1991-10-01,4.15625,4.15625,3.75,3.921875,2.5336596965789795,9644800
1991-11-01,3.890625,3.96875,3.515625,3.796875,2.4529049396514893,6992800
1991-12-01,3.78125,3.8125,3.328125,3.71875,2.402433395385742,7804800
1992-01-01,3.6875,3.84375,3.53125,3.796875,2.468332290649414,7284000
1992-02-01,3.796875,3.859375,3.328125,3.359375,2.18391489982605,17296800
1992-03-01,4.0625,4.390625,4.046875,4.28125,2.783221483230591,16035200
1992-04-01,4.25,4.46875,4.140625,4.421875,2.889680862426758,7900000
1992-05-01,4.40625,4.6875,4.203125,4.203125,2.7467288970947266,8041600
1992-06-01,4.21875,4.21875,3.859375,4.078125,2.665041446685791,10060800
1992-07-01,4.109375,4.28125,4.03125,4.203125,2.761542558670044,5129600
1992-08-01,4.203125,4.296875,4.0625,4.1875,2.7512757778167725,7351200
1992-09-01,4.171875,4.515625,4.171875,4.4375,2.9155309200286865,3803200
1992-10-01,4.453125,4.53125,4.25,4.53125,2.992415189743042,3763200
1992-11-01,4.546875,4.78125,4.515625,4.6875,3.095604181289673,3766400
1992-12-01,4.6875,4.734375,4.4375,4.59375,3.0336902141571045,5844800
1993-01-01,4.625,4.84375,4.53125,4.65625,3.0911684036254883,3216800
1993-02-01,4.65625,5.015625,4.609375,4.703125,3.1222851276397705,5040800
1993-03-01,4.6875,4.8125,4.5625,4.8125,3.1948976516723633,5722400
1993-04-01,4.796875,4.8125,4.5625,4.671875,3.1171252727508545,3591200
1993-05-01,4.65625,4.953125,4.59375,4.9375,3.294354200363159,2918400
1993-06-01,4.953125,5.40625,4.953125,5.359375,3.5758354663848877,5298400
1993-07-01,5.34375,5.59375,5.140625,5.546875,3.7184348106384277,5064000
1993-08-01,5.546875,5.625,5.40625,5.53125,3.7079598903656006,4628000
1993-09-01,5.515625,5.546875,5.21875,5.28125,3.5403687953948975,5971200
1993-10-01,5.28125,5.953125,5.171875,5.921875,3.9870383739471436,10192800
1993-11-01,5.890625,5.9375,5.5625,5.578125,3.755601644515991,4848000
1993-12-01,5.5625,5.8125,5.484375,5.625,3.7871627807617188,6335200
1994-01-01,5.65625,5.875,5.609375,5.71875,3.8690378665924072,7174000
1994-02-01,5.71875,5.8125,5.375,5.75,3.890181541442871,5020800
1994-03-01,5.75,5.875,5.03125,5.125,3.4673352241516113,9746800
1994-04-01,5.0625,5.6875,4.9375,5.53125,3.761099100112915,9056000
1994-05-01,5.59375,5.59375,5.15625,5.53125,3.761099100112915,5397600
1994-06-01,5.5,5.875,5.28125,5.5,3.7398483753204346,5812800
1994-07-01,5.53125,5.53125,5.0625,5.5,3.758535146713257,4419200
1994-08-01,5.5,5.78125,5.40625,5.78125,3.950732469558716,4974400
1994-09-01,5.75,5.8125,5.125,5.4375,3.7158262729644775,3118400
1994-10-01,5.46875,5.5,5.0625,5.3125,3.648043394088745,4113600
1994-11-01,5.34375,5.4375,5.0625,5.09375,3.4978291988372803,6234400
1994-12-01,5.09375,5.4375,4.8125,5.21875,3.583664894104004,7352800
1995-01-01,5.21875,5.65625,5.0,5.5625,3.8434383869171143,6370800
1995-02-01,5.59375,5.8125,5.46875,5.78125,3.9945859909057617,6406400
1995-03-01,5.75,6.21875,5.65625,6.0625,4.188917636871338,5777200
1995-04-01,6.0625,6.15625,5.625,5.75,3.9948246479034424,5041600
1995-05-01,5.75,6.375,5.6875,6.34375,4.407330513000488,6025200
1995-06-01,6.34375,6.34375,6.0,6.125,4.255354404449463,6605200
1995-07-01,6.09375,6.8125,6.0625,6.71875,4.691557884216309,4686800
1995-08-01,6.71875,6.9375,6.5625,6.84375,4.778843402862549,4183600
1995-09-01,6.8125,7.03125,6.625,6.90625,4.82248592376709,4136800
1995-10-01,6.875,7.34375,6.8125,7.25,5.085427761077881,4168000
1995-11-01,7.25,7.4375,7.03125,7.1875,5.0415873527526855,3863200
1995-12-01,7.15625,7.9375,7.15625,7.5,5.26078462600708,5949600
1996-01-01,7.46875,7.65625,7.28125,7.53125,5.307578086853027,6715200
1996-02-01,7.5625,8.15625,7.4375,7.59375,5.351627349853516,6691600
1996-03-01,7.65625,7.90625,7.4375,7.5,5.285556793212891,4928800
1996-04-01,7.53125,8.1875,7.375,8.125,5.752099514007568,4984000
1996-05-01,8.09375,8.46875,7.71875,8.125,5.752099514007568,4349600
1996-06-01,8.0625,8.4375,8.0,8.25,5.8405938148498535,3880400
1996-07-01,8.28125,8.3125,7.375,7.71875,5.487689971923828,5287200
1996-08-01,7.71875,7.90625,7.4375,7.59375,5.398820400238037,4729200
1996-09-01,7.53125,8.4375,7.5,8.4375,5.998687267303467,7363200
1996-10-01,8.375,9.15625,8.375,9.125,6.516899108886719,6257200
1996-11-01,9.125,9.875,9.09375,9.71875,6.940945625305176,10662000
