Date,Open,High,Low,Close,Adj Close,Volume
1995-11-01,20.25,21.375,20.0,20.875,13.480709075927734,5367400
1995-12-01,21.0,23.5,20.875,23.375,15.117283821105957,3517600
1996-01-01,23.25,23.25,20.375,21.75,14.066349983215332,5883800
1996-02-01,21.875,24.75,20.125,24.5,15.844860076904297,7756100
1996-03-01,24.625,25.125,21.75,23.625,15.299372673034668,5445400
1996-04-01,23.5,24.375,21.375,22.75,14.73272705078125,4901000
1996-05-01,22.625,24.625,21.875,23.375,15.137469291687012,3338100
1996-06-01,23.375,26.5,23.25,25.875,16.75644302368164,3887300
1996-07-01,25.875,26.125,22.5,24.125,15.643238067626953,2078600
1996-08-01,24.0,26.5,24.0,24.375,15.805346488952637,2374600
1996-09-01,24.375,25.875,23.75,24.75,16.06788444519043,2514100
1996-10-01,24.75,28.0,23.875,25.5,16.554790496826172,2994000
1996-11-01,25.375,29.5,24.625,28.125,18.258962631225586,2716500
1996-12-01,28.25,29.25,25.375,28.75,18.664718627929688,2411500
1997-01-01,28.625,28.625,26.0,27.5,17.87226676940918,4214200
1997-02-01,27.625,32.75,27.625,31.5,20.47186851501465,3485100
1997-03-01,31.75,32.375,28.875,29.375,19.090831756591797,2871800
1997-04-01,29.125,30.75,26.75,28.75,18.708402633666992,3667500
1997-05-01,28.75,35.125,28.75,34.0,22.124710083007812,4805900
1997-06-01,34.25,40.25,33.375,39.625,25.785057067871094,3881100
1997-07-01,39.5,39.5,34.5,38.75,25.24538230895996,2734900
1997-08-01,38.625,40.375,35.625,36.1875,23.5759220123291,2037000
1997-09-01,36.3125,41.125,36.3125,41.0,26.711238861083984,1858800
1997-10-01,41.0,43.0,33.0,37.625,24.537939071655273,2631800
1997-11-01,37.8125,40.8125,37.5,37.9375,24.74172592163086,1343200
1997-12-01,37.9375,41.75,36.9375,41.25,26.930631637573242,1849600
1998-01-01,41.25,41.25,35.25,37.875,24.727224349975586,2726200
1998-02-01,38.0,39.5625,36.625,36.875,24.074363708496094,2832000
1998-03-01,36.8125,41.625,36.5,41.125,26.849031448364258,7201000
