Date,Open,High,Low,Close,Adj Close,Volume
1994-07-01,17.625,18.625,17.375,17.75,5.191099643707275,465400
1994-08-01,17.75,18.5,17.625,18.375,5.373879909515381,430000
1994-09-01,18.375,19.0,17.125,18.0,5.264211654663086,254400
1994-10-01,18.0,18.0,16.5,17.625,5.154538631439209,348300
1994-11-01,17.5,17.5,15.75,17.0,4.97175407409668,258100
1994-12-01,17.0,17.125,14.625,15.125,4.423399448394775,343100
1995-01-01,15.25,16.75,15.25,16.5,4.825526714324951,193400
1995-02-01,16.625,16.625,14.625,16.125,4.715854167938232,273000
1995-03-01,16.125,16.375,15.25,15.875,4.642739772796631,523100
1995-04-01,15.75,16.625,15.625,16.25,4.752411365509033,168700
1995-05-01,16.375,18.125,16.0,17.875,5.227651596069336,230400
1995-06-01,17.75,18.125,17.125,18.125,5.30076789855957,325200
1995-07-01,18.25,18.375,16.0,17.75,5.191099643707275,299600
1995-08-01,17.875,18.0,16.5,17.375,5.081426620483398,519100
1995-09-01,17.25,18.25,17.125,17.625,5.154538631439209,277900
1995-10-01,17.5,18.5,17.125,18.25,5.463935375213623,265600
1995-11-01,18.375,19.125,18.25,18.625,5.5762104988098145,222500
1995-12-01,18.75,19.75,18.5,19.25,5.763329982757568,242700
1996-01-01,19.125,20.125,18.75,20.0,6.119683742523193,660700
1996-02-01,20.0,21.25,19.75,20.25,6.196180820465088,622000
1996-03-01,20.25,20.875,19.625,20.75,6.349170684814453,287700
1996-04-01,20.5,20.75,19.625,20.625,6.441305160522461,237300
1996-05-01,20.5,21.125,19.375,20.75,6.480339050292969,318400
1996-06-01,20.75,22.5,20.5,21.5,6.714570999145508,571900
1996-07-01,21.375,23.375,21.375,22.25,7.084041595458984,454000
1996-08-01,22.5,24.5,22.5,23.875,7.601416110992432,2018300
1996-09-01,23.625,24.875,23.375,24.875,7.919800281524658,937700
1996-10-01,24.875,26.125,24.625,25.875,8.3855619430542,1104400
1996-11-01,26.0,28.75,25.625,27.5,8.912192344665527,835300
1996-12-01,27.5,29.375,26.875,29.375,9.519844055175781,1734100
1997-01-01,29.5,29.875,27.875,29.25,9.62369155883789,1592900
1997-02-01,29.375,30.375,29.125,30.0,9.870450019836426,1316100
1997-03-01,30.0,31.0,28.75,29.875,9.829319953918457,1051700
1997-04-01,29.625,30.875,27.625,29.25,9.761219024658203,1150300
1997-05-01,29.125,30.375,28.75,29.625,9.886358261108398,779300
1997-06-01,29.625,32.375,28.25,32.125,10.720647811889648,1044000
1997-07-01,32.125,33.125,30.875,32.8125,11.107206344604492,932400
1997-08-01,32.9375,33.0,30.5,32.0,10.832176208496094,1129400
1997-09-01,32.125,35.0625,31.5,34.8125,11.78421401977539,1313700
1997-10-01,34.6875,37.5,32.8125,34.25,11.747029304504395,724000
1997-11-01,34.1875,36.125,34.125,36.125,12.390117645263672,419100
1997-12-01,36.25,36.25,33.25,35.0,12.004262924194336,1956900
1998-01-01,34.8125,34.9375,34.125,34.4375,11.966866493225098,724600
1998-02-01,34.3125,34.5,32.3125,32.375,11.250157356262207,1670000
1998-03-01,32.3125,34.3125,32.25,34.3125,11.92342758178711,1242800
1998-04-01,34.0625,34.5,32.625,33.0,11.622888565063477,1340100
1998-05-01,32.875,33.8125,31.875,32.5,11.446781158447266,794600
1998-06-01,32.4375,33.125,30.1875,31.0,10.918474197387695,679500
1998-07-01,30.875,33.5,30.375,30.375,10.871942520141602,1059100
1998-08-01,30.25,31.5625,28.25,28.4375,10.178464889526367,697300
1998-09-01,28.6875,32.5625,26.9375,31.0,11.095650672912598,765000
1998-10-01,30.9375,31.625,29.125,31.375,11.408473014831543,729000
1998-11-01,31.5,31.6875,29.875,30.9375,11.249390602111816,665100
1998-12-01,31.0,31.75,28.5,29.75,10.817596435546875,1190700
1999-01-01,29.625,30.5,28.5,28.625,10.59034252166748,857600
1999-02-01,28.625,29.0625,27.5,28.25,10.451601028442383,909900
1999-03-01,28.4375,28.5,25.6875,26.125,9.665416717529297,1148200
1999-04-01,26.0625,31.875,26.0625,31.5625,11.897439002990723,1598400
1999-05-01,31.5625,33.625,31.5625,32.125,12.109472274780273,1558700
1999-06-01,31.9375,35.5,31.5,35.375,13.334551811218262,1908800
1999-07-01,35.125,35.125,33.375,33.75,12.934367179870605,862900
1999-08-01,33.875,35.125,32.5,34.625,13.269709587097168,1025600
1999-09-01,34.875,35.0,33.1875,34.9375,13.3894681930542,875900
1999-10-01,34.875,34.9375,32.125,32.5625,12.678505897521973,846100
1999-11-01,32.75,34.1875,32.0625,32.4375,12.629837036132812,744300
1999-12-01,32.25,34.0,29.0625,34.0,13.238208770751953,1138900
2000-01-01,33.875,34.5,32.5625,34.0,13.460026741027832,717400
2000-02-01,34.0,35.25,33.8125,35.25,13.954878807067871,597400
2000-03-01,35.125,36.3125,34.9375,36.0,14.251791000366211,1384700
2000-04-01,36.125,38.6875,36.0,38.625,15.529905319213867,1516400
2000-05-01,38.6875,41.625,38.5,39.8125,16.00737190246582,1195500
2000-06-01,39.8125,44.0,39.6875,42.015625,16.89316749572754,974000
2000-07-01,42.0,49.625,42.0,49.25,20.080276489257812,1603700
2000-08-01,49.4375,52.0,49.0625,49.1875,20.054786682128906,1492000
2000-09-01,49.125,56.5,48.8125,55.375,22.57756233215332,1290300
2000-10-01,55.625,56.0625,51.9375,52.0,21.440656661987305,1252100
2000-11-01,52.0,53.5,50.5,52.5625,21.67258644104004,880400
