Date,Open,High,Low,Close,Adj Close,Volume
1995-08-01,13.4375,13.4375,11.3125,11.6875,6.398902416229248,18460000
1995-09-01,11.625,13.0,11.5625,12.8125,7.014841079711914,11674400
1995-10-01,12.875,13.0,11.375,11.375,6.227810382843018,7232000
1995-11-01,11.3125,13.75,11.3125,13.5625,7.4925642013549805,12178400
1995-12-01,13.5,15.375,13.375,14.0625,7.768787384033203,12185600
1996-01-01,14.0,14.8125,13.6875,14.8125,8.183120727539062,15570800
1996-02-01,14.8125,16.5625,14.75,16.3125,9.047511100769043,12535800
1996-03-01,16.4375,16.875,14.3125,15.8125,8.77019214630127,11279800
1996-04-01,15.8125,17.375,15.375,16.4375,9.116839408874512,8867400
1996-05-01,16.375,18.0625,15.9375,16.625,9.282261848449707,9121800
1996-06-01,16.5,16.875,15.0,15.9375,8.898406982421875,11248000
1996-07-01,15.9375,16.3125,14.1875,14.8125,8.270281791687012,11869600
1996-08-01,15.0,16.375,14.375,14.6875,8.259254455566406,8689200
1996-09-01,14.625,16.5,14.5,15.625,8.786441802978516,9791000
1996-10-01,15.5625,16.4375,15.125,15.1875,8.540417671203613,8032600
1996-11-01,15.25,16.375,14.625,15.75,8.922014236450195,9027400
1996-12-01,15.6875,16.0625,14.0,14.9375,8.461752891540527,10215000
1997-01-01,15.0,16.0625,14.125,14.375,8.143109321594238,9721600
1997-02-01,14.5,17.4375,13.75,17.0,9.704129219055176,19232600
1997-03-01,16.875,16.9375,14.625,15.1875,8.669493675231934,13754600
1997-04-01,15.125,15.3125,13.25,14.5625,8.312726974487305,14424400
1997-05-01,14.5,15.9375,14.4375,14.5625,8.380367279052734,8884600
1997-06-01,14.5,15.5625,14.0,15.5625,8.955845832824707,11284200
1997-07-01,15.375,15.375,13.625,14.625,8.416335105895996,17070200
1997-08-01,14.59375,15.1875,13.96875,14.0,8.122224807739258,11288800
1997-09-01,14.0,14.59375,13.59375,14.40625,8.357914924621582,16822200
1997-10-01,14.40625,14.96875,11.125,11.96875,6.943778991699219,16966400
1997-11-01,12.15625,12.8125,10.4375,10.46875,6.122082710266113,13964000
1997-12-01,10.5,10.5,7.46875,7.875,4.605269908905029,29490600
1998-01-01,7.875,8.0,6.53125,7.34375,4.294596195220947,26263800
1998-02-01,7.375,8.03125,6.6875,7.53125,4.419417381286621,19184200
1998-03-01,7.53125,10.4375,6.8125,9.96875,5.849769115447998,45568200
1998-04-01,9.875,10.71875,9.34375,9.4375,5.538029670715332,26760400
1998-05-01,9.40625,9.46875,7.71875,8.375,4.926556587219238,25574400
1998-06-01,8.375,8.84375,7.40625,7.59375,4.466989994049072,21307800
1998-07-01,7.59375,8.3125,7.375,7.40625,4.356694221496582,14065200
1998-08-01,7.40625,7.59375,5.75,5.8125,3.4305171966552734,25867400
1998-09-01,5.875,7.09375,5.625,5.96875,3.5227370262145996,39785400
1998-10-01,6.03125,6.46875,5.4375,6.125,3.614954948425293,31575000
1998-11-01,6.09375,7.5625,5.875,6.53125,3.871835470199585,18838800
1998-12-01,6.59375,6.65625,4.90625,5.21875,3.093761920928955,22699800
1999-01-01,5.3125,6.375,4.71875,4.875,2.889982223510742,18341600
