Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,13.583333015441895,14.416666984558105,13.333333015441895,14.333333015441895,2.192920684814453,716700
1985-02-01,14.333333015441895,15.333333015441895,14.333333015441895,14.416666984558105,2.2056708335876465,295650
1985-03-01,14.416666984558105,14.833333015441895,13.916666984558105,14.666666984558105,2.24392032623291,296550
1985-04-01,14.666666984558105,15.0,13.583333015441895,14.166666984558105,2.167421579360962,403050
1985-05-01,14.166666984558105,14.833333015441895,13.916666984558105,14.166666984558105,2.167421579360962,252600
1985-06-01,14.25,14.833333015441895,14.083333015441895,14.333333015441895,2.192920684814453,313500
1985-07-01,14.333333015441895,14.916666984558105,14.166666984558105,14.833333015441895,2.2694175243377686,318150
1985-08-01,14.833333015441895,15.333333015441895,14.666666984558105,15.25,2.333164930343628,355050
1985-09-01,15.25,16.666667938232422,14.833333015441895,15.083333015441895,2.307666540145874,148650
1985-10-01,15.083333015441895,16.5,15.0,16.416667938232422,2.511658191680908,155250
1985-11-01,16.416667938232422,16.5,15.5,16.375,2.5052855014801025,148600
1985-12-01,16.375,17.125,15.25,16.875,2.5817813873291016,174500
1986-01-01,16.875,17.5,16.125,17.375,2.658278226852417,223300
1986-02-01,17.375,18.125,16.75,17.875,2.7347755432128906,124800
1986-03-01,17.875,19.75,17.375,19.5,2.9833924770355225,163100
1986-04-01,19.5,19.625,17.125,18.75,2.8686459064483643,261900
1986-05-01,18.625,18.75,17.625,18.5,2.8303980827331543,165600
1986-06-01,18.5,20.0,18.25,20.0,3.0598888397216797,174700
1986-07-01,20.125,20.75,19.0,20.75,3.174635887145996,256800
1986-08-01,20.625,23.25,19.75,22.125,3.3850033283233643,396000
1986-09-01,22.25,22.75,18.625,19.625,3.002516508102417,290000
1986-10-01,19.625,21.0,19.375,20.0,3.0598888397216797,246600
1986-11-01,20.0,20.0,18.375,19.25,2.9451441764831543,228500
1986-12-01,19.25,20.5,18.75,19.875,3.0407657623291016,396100
1987-01-01,19.875,23.125,19.875,22.875,3.499748468399048,563800
1987-02-01,22.875,24.375,22.875,23.875,3.6527442932128906,373800
1987-03-01,23.875,24.375,22.625,23.5,3.5953686237335205,573700
1987-04-01,23.5,25.75,21.625,23.25,3.557122230529785,387000
1987-05-01,23.25,25.0,21.5,21.875,3.346754312515259,295300
1987-06-01,22.0,23.875,22.0,23.25,3.557122230529785,312100
1987-07-01,23.25,23.5,21.625,22.125,3.3850033283233643,299000
1987-08-01,22.125,22.5,21.375,22.0,3.3658783435821533,563300
1987-09-01,21.875,22.625,21.625,22.25,3.404125928878784,317200
1987-10-01,22.25,22.25,22.25,22.25,3.404125928878784,0
1987-11-01,22.25,22.25,18.25,18.375,2.8112730979919434,279100
1987-12-01,18.375,21.375,18.0,19.875,3.0407657623291016,222800
1988-01-01,19.875,21.375,19.0,19.5,3.03000807762146,130100
1988-02-01,19.625,21.75,19.625,21.0,3.2630844116210938,235100
1988-03-01,20.875,21.25,19.875,20.125,3.1271250247955322,462600
1988-04-01,20.0,21.75,19.625,21.0,3.310091495513916,274700
1988-05-01,21.125,21.125,20.0,20.625,3.250983953475952,181200
1988-06-01,20.75,21.25,20.375,20.875,3.2903904914855957,212300
1988-07-01,21.0,21.125,20.0,20.5,3.278684139251709,211100
1988-08-01,20.5,21.0,20.25,20.75,3.318666934967041,232800
1988-09-01,20.75,21.0,20.0,20.625,3.298672676086426,226200
1988-10-01,20.625,21.0,20.5,20.5,3.3313469886779785,204700
1988-11-01,20.625,21.0,20.375,20.5,3.3313469886779785,187800
1988-12-01,20.5,22.25,20.0,21.125,3.4329118728637695,237000
1989-01-01,21.125,22.5,20.75,22.125,3.6542410850524902,165100
1989-02-01,22.125,23.125,21.75,22.875,3.7781131267547607,103700
1989-03-01,23.0,23.5,22.375,22.75,3.7574679851531982,168800
1989-04-01,22.875,23.625,22.5,23.625,3.95816707611084,182300
1989-05-01,23.5,24.25,22.625,23.75,3.979109525680542,210300
1989-06-01,23.875,24.875,23.125,24.5,4.104766368865967,392800
1989-07-01,24.375,25.5,24.25,25.25,4.2914137840271,194900
1989-08-01,25.5,26.0,24.0,25.375,4.312659740447998,269700
1989-09-01,24.375,25.125,23.625,24.0,4.0789690017700195,545300
1989-10-01,23.875,24.0,22.25,23.5,4.049850940704346,785200
1989-11-01,23.25,23.5,22.5,22.625,3.8990581035614014,321000
1989-12-01,22.625,23.125,21.5,22.0,3.7913496494293213,454000
1990-01-01,21.875,22.0,20.5,20.875,3.6556332111358643,329100
1990-02-01,21.0,21.25,19.625,19.875,3.4805123805999756,340800
1990-03-01,20.0,21.375,19.875,21.125,3.6994118690490723,204900
1990-04-01,21.0,21.25,19.875,20.0,3.5632383823394775,242200
1990-05-01,20.0,22.0,20.0,20.25,3.6077773571014404,213700
1990-06-01,20.75,21.25,20.0,20.375,3.63004732131958,151400
1990-07-01,20.375,21.0,20.125,20.125,3.646279811859131,266300
1990-08-01,20.125,20.125,17.375,17.75,3.2159738540649414,315400
1990-09-01,17.75,19.0,14.375,14.625,2.6497809886932373,321900
1990-10-01,14.75,15.125,12.75,13.0,2.4055042266845703,673100
1990-11-01,13.0,15.5,12.5,15.5,2.8680996894836426,287200
1990-12-01,15.75,17.5,13.75,14.375,2.6599326133728027,367200
1991-01-01,14.375,17.5,13.625,17.25,3.2712888717651367,563900
1991-02-01,17.25,17.25,14.875,16.375,3.1053504943847656,529600
1991-03-01,16.375,18.25,16.125,18.125,3.437221050262451,545200
1991-04-01,18.25,20.125,18.25,19.0,3.6804182529449463,241700
1991-05-01,19.0,19.75,18.5,19.75,3.8256990909576416,563500
1991-06-01,19.625,21.0,18.5,18.875,3.65620493888855,343100
1991-07-01,18.875,20.25,18.75,20.0,3.951587677001953,204400
1991-08-01,20.0,20.0,18.125,19.25,3.8034050464630127,146500
1991-09-01,19.375,19.75,19.125,19.5,3.852797508239746,151400
1991-10-01,19.375,20.0,18.625,19.0,3.827652931213379,254300
1991-11-01,19.0,19.125,17.375,17.5,3.525470733642578,1502200
1991-12-01,17.625,19.125,17.25,18.875,3.882770538330078,1221400
1992-01-01,19.0,20.875,18.75,20.75,4.268476963043213,694000
1992-02-01,20.875,22.5,20.5,21.0,4.319900989532471,553800
1992-03-01,21.25,22.375,20.875,21.375,4.397042274475098,300800
1992-04-01,21.25,21.5,20.0,21.25,4.4481611251831055,445500
1992-05-01,21.25,21.5,20.75,21.125,4.421992778778076,373300
1992-06-01,21.25,21.75,20.5,21.375,4.4743266105651855,1655400
1992-07-01,21.5,22.75,21.375,22.25,4.740789413452148,882000
1992-08-01,22.25,23.25,22.0,22.625,4.820689678192139,563400
1992-09-01,22.75,25.0,22.125,24.75,5.273464679718018,1102300
1992-10-01,24.5,24.5,23.75,24.375,5.279391765594482,428000
1992-11-01,24.5,24.5,22.0,22.875,4.954503059387207,1001300
1992-12-01,22.625,25.25,22.0,25.0,5.414756774902344,791700
1993-01-01,24.875,25.875,23.875,24.625,5.416960716247559,1025000
1993-02-01,24.75,27.0,24.625,26.875,5.911909103393555,707600
1993-03-01,26.875,29.0,26.875,27.625,6.076889514923096,1597700
1993-04-01,27.625,28.875,26.25,27.25,6.078353404998779,2053300
1993-05-01,27.375,27.375,24.75,27.125,6.05047082901001,884100
1993-06-01,27.375,27.625,25.625,26.75,5.966825485229492,1364400
1993-07-01,26.75,28.0,26.25,27.125,6.140101909637451,696100
1993-08-01,27.125,27.875,25.5,27.5,6.2249884605407715,926000
1993-09-01,27.5,30.25,27.25,29.875,6.76260232925415,834500
1993-10-01,29.875,29.875,27.0,27.25,6.249640941619873,739100
1993-11-01,27.25,27.75,24.75,26.375,6.048964977264404,677300
1993-12-01,26.375,27.0,24.125,25.0,5.733613014221191,1089400
1994-01-01,24.75,26.75,24.125,24.125,5.61973762512207,938300
1994-02-01,24.0,27.875,23.0,27.875,6.4932732582092285,1170900
1994-03-01,27.75,29.5,23.5,24.625,5.736209869384766,2122100
1994-04-01,23.5,25.25,23.5,24.625,5.817605495452881,1111900
1994-05-01,24.75,25.625,24.0,25.125,5.93572998046875,805500
1994-06-01,25.0,25.875,24.5,25.625,6.053849697113037,948400
1994-07-01,26.0,26.125,24.875,24.875,5.96748685836792,692000
1994-08-01,25.0,25.75,21.5,23.375,5.607637405395508,1161800
1994-09-01,23.625,23.625,21.0,21.375,5.127840995788574,1540300
1994-10-01,21.0,21.375,19.625,21.375,5.218956470489502,1026600
1994-11-01,21.0,21.625,20.125,21.0,5.127396583557129,884300
1994-12-01,21.0,23.75,20.375,20.625,5.035836219787598,1303300
1995-01-01,20.875,21.25,20.25,20.875,5.1906046867370605,1238700
1995-02-01,20.875,21.375,20.625,21.125,5.252768039703369,1300200
1995-03-01,21.125,22.0,20.375,21.25,5.283848762512207,945800
1995-04-01,21.0,21.25,19.75,20.25,5.130564212799072,581400
1995-05-01,20.25,22.625,19.875,21.25,5.383928298950195,1033300
1995-06-01,21.375,22.5,20.75,21.625,5.478933811187744,2089200
1995-07-01,21.625,22.5,21.375,21.75,5.611356258392334,657000
1995-08-01,21.625,22.5,21.125,21.875,5.643603801727295,985100
1995-09-01,21.875,23.625,21.875,23.375,6.0305962562561035,618200
1995-10-01,23.25,23.375,20.25,20.25,5.319183826446533,772300
