Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,0.0,6.125,3.9375,5.9375,3.1648998260498047,7241200
1985-02-01,0.0,6.0,5.125,5.25,2.7984395027160645,3844800
1985-03-01,0.0,5.375,4.375,4.6875,2.4986040592193604,5998000
1985-04-01,0.0,4.6875,3.9375,4.34375,2.3153743743896484,7692000
1985-05-01,0.0,4.9375,4.25,4.25,2.2654025554656982,6646400
1985-06-01,0.0,4.8125,3.875,4.6875,2.4986040592193604,10240800
1985-07-01,0.0,5.375,4.1875,5.0625,2.6984927654266357,8580000
1985-08-01,0.0,5.0625,4.625,4.6875,2.4986040592193604,3153200
1985-09-01,0.0,4.75,4.0,4.34375,2.3153743743896484,5304800
1985-10-01,0.0,4.9375,4.0625,4.90625,2.615206003189087,10790400
1985-11-01,0.0,5.3125,4.375,5.1875,2.7651240825653076,7698000
1985-12-01,0.0,5.8125,5.0625,5.75,3.064955711364746,6656400
1986-01-01,0.0,5.75,4.8125,5.625,2.998326301574707,7083600
1986-02-01,0.0,6.25,5.1875,5.3125,2.8317527770996094,5035200
1986-03-01,0.0,5.8125,5.0625,5.4375,2.898380994796753,10988400
1986-04-01,0.0,6.5625,4.9375,6.0,3.198214054107666,8299600
1986-05-01,0.0,6.3125,5.375,5.5625,2.965012311935425,10186800
1986-06-01,0.0,6.0625,4.4375,4.5,2.3986611366271973,9466400
1986-07-01,0.0,4.625,3.9375,4.1875,2.232085943222046,6780400
1986-08-01,0.0,4.5625,3.9375,4.5,2.3986611366271973,5188000
1986-09-01,0.0,4.5,3.1875,3.40625,1.8156527280807495,9032000
1986-10-01,0.0,3.875,2.75,3.71875,1.9822261333465576,7576400
1986-11-01,0.0,3.8125,3.25,3.75,1.9988840818405151,3427600
1986-12-01,0.0,3.9375,3.1875,3.40625,1.8156527280807495,6400000
1987-01-01,0.0,5.71875,3.375,5.6875,3.031641960144043,17662000
1987-02-01,0.0,6.125,5.3125,5.375,2.865067958831787,9574800
1987-03-01,0.0,6.0625,5.15625,5.3125,2.8317527770996094,8745600
1987-04-01,0.0,5.875,4.6875,5.375,2.865067958831787,4333200
1987-05-01,0.0,6.125,4.875,5.0,2.6651792526245117,9676000
1987-06-01,0.0,5.875,4.90625,5.125,2.7318081855773926,12656400
1987-07-01,0.0,5.4375,4.8125,5.25,2.7984395027160645,7167600
1987-08-01,0.0,6.28125,5.125,5.9375,3.1648998260498047,9933200
1987-09-01,0.0,5.96875,4.75,4.9375,2.631864309310913,5728800
1987-10-01,0.0,5.5,2.4375,3.0,1.599107027053833,15578400
1987-11-01,0.0,3.5,2.71875,3.0625,1.632421612739563,14842400
1987-12-01,0.0,3.90625,2.90625,3.4375,1.8323103189468384,8899200
1988-01-01,0.0,4.0625,3.21875,3.34375,1.7823385000228882,5773600
1988-02-01,0.0,4.25,3.3125,4.21875,2.248744010925293,8837600
1988-03-01,0.0,5.0625,4.25,4.5625,2.4319756031036377,10318800
1988-04-01,0.0,5.25,4.34375,4.9375,2.631864309310913,6079200
1988-05-01,0.0,5.25,4.375,4.625,2.4652910232543945,5402800
1988-06-01,0.0,5.1875,4.375,4.6875,2.4986040592193604,10463200
1988-07-01,0.0,5.15625,3.9375,4.0,2.1321427822113037,6889200
1988-08-01,0.0,4.125,3.3125,3.6875,1.965569257736206,10202400
1988-09-01,0.0,3.71875,2.875,3.46875,1.8489677906036377,8352400
1988-10-01,0.0,3.625,2.9375,3.0625,1.632421612739563,4364000
1988-11-01,0.0,3.125,2.375,2.875,1.532477855682373,7020400
1988-12-01,0.0,3.1875,2.5625,2.9375,1.5657930374145508,11216400
1989-01-01,0.0,3.15625,2.65625,3.0,1.599107027053833,17250000
1989-02-01,0.0,3.4375,2.75,3.375,1.7989959716796875,9026000
1989-03-01,0.0,3.4375,2.375,2.6875,1.4325339794158936,15292400
1989-04-01,0.0,2.9375,2.5,2.75,1.4658478498458862,10538000
1989-05-01,0.0,3.1875,2.53125,3.1875,1.6990517377853394,18302000
1989-06-01,0.0,3.4375,2.75,2.90625,1.5491350889205933,11886400
1989-07-01,0.0,2.9375,2.5,2.5625,1.3659040927886963,7623600
1989-08-01,0.0,3.0,2.5,3.0,1.599107027053833,11912000
1989-09-01,0.0,3.25,2.9375,3.0625,1.632421612739563,4077600
1989-10-01,0.0,3.125,2.0625,2.125,1.1327012777328491,10996000
1989-11-01,0.0,2.25,1.875,2.0625,1.0993865728378296,4241600
1989-12-01,0.0,2.3125,2.0,2.1875,1.166015386581421,8216800
1990-01-01,0.0,2.25,1.78125,1.84375,0.982784628868103,5451600
1990-02-01,0.0,1.9375,1.71875,1.8125,0.9661270976066589,6514800
1990-03-01,0.0,2.34375,1.78125,2.15625,1.1493587493896484,5710400
1990-04-01,2.15625,2.6875,2.125,2.3125,1.2326455116271973,13962800
1990-05-01,2.28125,3.0,2.25,2.96875,1.5824499130249023,11444000
1990-06-01,3.0,3.0,2.75,3.0,1.599107027053833,6997600
1990-07-01,2.90625,3.125,2.65625,2.8125,1.4991631507873535,5888000
1990-08-01,2.84375,2.875,1.78125,1.90625,1.016099214553833,7782400
1990-09-01,1.90625,2.0,1.75,1.90625,1.016099214553833,5346800
1990-10-01,1.9375,2.125,1.4375,1.78125,0.949469804763794,14755200
1990-11-01,1.78125,1.875,1.59375,1.625,0.8661828637123108,3926400
1990-12-01,1.65625,2.40625,1.625,2.1875,1.166015386581421,6972800
1991-01-01,2.25,2.71875,2.0,2.71875,1.4491904973983765,6586000
