Date,Open,High,Low,Close,Adj Close,Volume
1988-02-01,12.125,15.1875,11.8125,15.125,9.178272247314453,10240000
1988-03-01,15.1875,16.125,13.8125,15.0625,9.140347480773926,6964800
1988-04-01,15.0,16.0,14.0,14.75,8.993946075439453,3820200
1988-05-01,14.6875,15.0625,13.25,14.4375,8.80339241027832,3375400
1988-06-01,14.4375,21.625,14.4375,19.6875,12.00462818145752,8513200
1988-07-01,19.8125,21.25,17.75,18.6875,11.47219181060791,8366400
1988-08-01,18.8125,20.75,18.25,20.4375,12.546513557434082,5525600
1988-09-01,20.3125,21.5625,18.5,18.6875,11.47219181060791,10036400
1988-10-01,18.75,21.0,18.5625,21.0,12.969021797180176,4640800
1988-11-01,20.9375,20.9375,18.75,20.3125,12.544445037841797,2683800
1988-12-01,20.3125,22.5625,20.125,22.0625,13.625199317932129,3385600
1989-01-01,22.1875,24.875,21.9375,24.3125,15.104642868041992,5516600
1989-02-01,24.4375,24.6875,22.75,23.5625,14.638683319091797,4072000
1989-03-01,23.5625,24.625,21.625,22.875,14.211570739746094,9053000
1989-04-01,23.0,23.125,20.375,20.875,13.039125442504883,9256400
1989-05-01,20.375,21.0625,18.4375,18.5,11.555633544921875,8784000
1989-06-01,18.5,18.5625,16.25,16.75,10.46253776550293,9852200
1989-07-01,16.8125,18.125,16.8125,17.3125,10.895602226257324,3502600
1989-08-01,17.5625,19.875,17.3125,19.375,12.193632125854492,5017800
1989-09-01,19.3125,19.75,17.625,17.9375,11.288947105407715,4676000
1989-10-01,17.875,18.1875,16.0,16.125,10.220155715942383,5112200
1989-11-01,16.0625,16.625,15.6875,15.75,9.982479095458984,3254000
1989-12-01,15.75,17.1875,15.625,16.875,10.695517539978027,2773600
1990-01-01,16.875,18.1875,16.375,17.0,10.866068840026855,4934400
1990-02-01,16.75,19.1875,16.625,18.25,11.665042877197266,6242000
1990-03-01,18.25,19.25,17.25,17.375,11.105757713317871,4614400
1990-04-01,17.0,17.8125,15.5625,15.5625,10.019143104553223,5018400
1990-05-01,15.6875,16.875,15.5625,16.5,10.622703552246094,3215600
1990-06-01,16.5625,18.0,16.375,17.5625,11.306743621826172,2403400
1990-07-01,17.375,19.3125,16.9375,17.75,11.519265174865723,4882200
1990-08-01,17.75,17.8125,15.1875,16.125,10.464691162109375,2412800
1990-09-01,16.125,16.9375,16.0,16.75,10.8702974319458,1463800
1990-10-01,16.75,18.25,16.375,17.25,11.28856372833252,3022600
1990-11-01,17.25,18.25,17.125,17.375,11.37036418914795,1640000
1990-12-01,17.5,18.875,17.375,17.4375,11.411269187927246,2570400
1991-01-01,17.4375,19.25,16.5,19.125,12.610821723937988,2345400
1991-02-01,19.25,20.875,18.625,19.1875,12.652033805847168,1921800
1991-03-01,19.25,21.8125,19.0625,21.6875,14.300515174865723,2604200
1991-04-01,21.25,21.5,19.75,20.6875,13.73267650604248,4444600
1991-05-01,20.6875,21.0,18.125,20.75,13.77415943145752,5761600
1991-06-01,20.8125,23.4375,20.375,23.0625,15.309239387512207,4776600
1991-07-01,23.1875,26.5,22.4375,25.625,17.119993209838867,5257200
1991-08-01,25.375,29.75,25.1875,27.4375,18.33092498779297,7409800
1991-09-01,27.3125,30.0,26.0,27.3125,18.24740219116211,4536200
1991-10-01,27.1875,27.8125,23.625,23.75,15.947234153747559,8015400
1991-11-01,23.75,26.0625,22.6875,24.625,16.534751892089844,4985800
1991-12-01,24.625,28.75,24.5625,28.375,19.052738189697266,3782800
1992-01-01,28.25,34.0,27.375,31.4375,21.2187442779541,8072600
1992-02-01,31.5625,32.0625,30.0,31.5,21.260929107666016,4103600
1992-03-01,31.25,32.125,25.8125,27.0,18.223651885986328,8115200
1992-04-01,26.625,27.0625,23.5,24.9375,16.910110473632812,7090200
1992-05-01,25.0,26.0,23.0,23.0,15.596294403076172,5360600
1992-06-01,22.875,24.8125,21.1875,21.4375,14.53676986694336,5204600
1992-07-01,21.3125,22.5625,18.75,22.5625,15.38827133178711,5659600
1992-08-01,22.4375,22.6875,20.125,21.6875,14.791496276855469,4140800
1992-09-01,21.6875,22.9375,20.8125,20.875,14.237346649169922,4108200
1992-10-01,20.9375,22.6875,20.125,21.625,14.837897300720215,3089200
1992-11-01,21.5,21.75,18.625,19.0,13.036761283874512,2748200
1992-12-01,19.0,21.3125,19.0,21.3125,14.623473167419434,3576000
1993-01-01,21.3125,22.8125,20.75,21.6875,14.980340003967285,4573400
1993-02-01,21.75,22.5,18.9375,18.9375,13.080818176269531,2531800
1993-03-01,18.9375,19.0,15.5,16.0625,11.094949722290039,6143200
1993-04-01,16.0625,18.3125,16.0,17.625,12.262811660766602,4850000
1993-05-01,17.5,18.0,14.25,15.75,10.958256721496582,3672400
1993-06-01,15.75,16.0,12.1875,14.6875,10.219010353088379,7057800
1993-07-01,14.6875,15.25,13.0,14.9375,10.392949104309082,5871400
1993-08-01,14.9375,16.375,14.125,14.25,9.914616584777832,3298800
1993-09-01,14.3125,17.125,13.5,17.125,11.914933204650879,4962000
1993-10-01,17.125,18.1875,16.5,18.1875,12.6541748046875,8233200
1993-11-01,18.1875,19.9375,16.875,19.1875,13.349939346313477,4922200
1993-12-01,19.1875,23.625,18.25,22.6875,15.785104751586914,8375000
1994-01-01,22.625,24.625,21.25,21.8125,15.176315307617188,12118200
1994-02-01,22.0,24.375,21.625,23.0,16.002538681030273,8849800
1994-03-01,22.25,22.5,19.25,19.75,13.741305351257324,8596600
1994-04-01,19.3125,22.125,18.5,18.5,12.871604919433594,10785600
1994-05-01,18.5625,18.84375,16.125,17.1875,11.958414077758789,12927200
1994-06-01,17.25,18.6875,15.375,17.3125,12.045392036437988,6385600
1994-07-01,17.3125,19.5,17.0625,19.5,13.567361831665039,7965800
1994-08-01,19.4375,20.1875,17.8125,20.0625,13.958731651306152,7316000
1994-09-01,19.9375,22.3125,18.3125,22.25,15.480712890625,10788200
1994-10-01,22.375,22.375,20.3125,21.25,14.784955024719238,6764600
1994-11-01,21.25,21.375,18.125,19.0,13.219483375549316,6236400
1994-12-01,19.1875,21.875,18.875,21.875,15.21980094909668,4592800
1995-01-01,21.8125,24.0,20.625,22.8125,15.909073829650879,11228000
1995-02-01,22.875,24.4375,22.875,23.375,16.301361083984375,6570600
1995-03-01,23.375,26.25,22.6875,24.75,17.26025390625,7651400
1995-04-01,24.4375,25.875,23.875,24.5625,17.16525650024414,4262000
1995-05-01,24.5625,25.1875,22.25,22.5,15.72390079498291,13270600
1995-06-01,22.5,27.3125,22.25,27.0625,18.912363052368164,8106400
1995-07-01,27.0,31.625,27.0,30.125,21.09312629699707,8297000
1995-08-01,30.0,32.0625,29.625,31.625,22.14339828491211,5115400
1995-09-01,31.75,33.3125,31.5625,31.6875,22.187162399291992,5443400
1995-10-01,31.6875,36.375,30.3125,35.0,24.544649124145508,7721000
1995-11-01,35.0625,38.75,34.75,38.6875,27.130617141723633,13523400
1995-12-01,38.625,40.875,35.0,40.75,28.577001571655273,9459800
1996-01-01,40.875,42.5,33.625,37.625,26.43939208984375,16126100
1996-02-01,37.625,41.75,37.625,41.25,28.986709594726562,14719100
1996-03-01,41.125,43.25,36.25,36.5,25.648855209350586,17076100
1996-04-01,35.0,38.75,32.25,36.875,25.965303421020508,18627600
1996-05-01,37.0,39.875,33.5,36.625,25.789260864257812,16969000
1996-06-01,36.75,39.625,35.75,37.625,26.49339485168457,6109300
1996-07-01,37.5,40.5,35.125,39.5,27.873117446899414,11146000
1996-08-01,39.375,44.5,38.0,43.0,30.34290313720703,9058500
1996-09-01,42.75,43.125,37.0,39.125,27.6085147857666,10611000
1996-10-01,39.375,41.0,37.25,37.5,26.513084411621094,9731200
1996-11-01,37.5,38.25,33.875,36.125,25.54094886779785,19182400
1996-12-01,35.875,39.875,35.25,39.125,27.66199493408203,12980600
1997-01-01,39.125,42.5,38.0,38.125,27.013391494750977,8200600
1997-02-01,38.25,38.625,33.875,34.875,24.710609436035156,16202400
1997-03-01,34.75,36.125,33.125,36.125,25.596294403076172,8975600
1997-04-01,35.875,37.875,33.125,36.75,26.09966278076172,13062200
1997-05-01,36.875,39.25,35.875,39.125,27.786365509033203,6377400
1997-06-01,39.375,39.375,35.0,35.0,24.856807708740234,8446400
1997-07-01,35.0,37.0,31.375,31.5625,22.46175193786621,21500900
1997-08-01,31.5625,37.25,31.5625,35.1875,25.041515350341797,11729700
1997-09-01,35.125,37.0625,35.0,35.25,25.085987091064453,9745300
1997-10-01,35.3125,37.625,32.625,33.6875,24.026676177978516,7401100
1997-11-01,33.75,36.0,30.875,31.5,22.466506958007812,6102900
1997-12-01,31.75,33.5625,29.625,32.75,23.41680335998535,17141400
1998-01-01,33.0625,33.5,28.5625,32.25,23.059295654296875,9728000
1998-02-01,32.3125,38.25,32.25,38.1875,27.304702758789062,11016700
1998-03-01,38.0,39.5,36.4375,38.0625,27.215347290039062,7890300
1998-04-01,38.1875,39.125,34.6875,36.0,25.796480178833008,7223100
1998-05-01,36.0,36.5,31.4375,32.5,23.288482666015625,5635800
1998-06-01,32.5,32.875,29.375,30.125,21.586645126342773,8587300
1998-07-01,30.25,30.375,24.25,25.5625,18.366065979003906,10835600
1998-08-01,25.5625,25.5625,18.0,18.375,13.20201587677002,11845700
1998-09-01,18.0,22.8125,17.8125,19.375,13.920488357543945,12887500
1998-10-01,19.125,26.5,18.125,26.0,18.750988006591797,14452700
1998-11-01,25.75,27.3125,22.8125,22.875,16.497276306152344,8501800
1998-12-01,22.75,22.75,19.0,21.375,15.415474891662598,10653400
1999-01-01,21.6875,22.3125,18.0,18.1875,13.17003059387207,12999700
1999-02-01,18.375,21.625,18.375,19.9375,14.437244415283203,17894800
1999-03-01,19.8125,21.5625,18.3125,20.4375,14.799304962158203,9046400
1999-04-01,20.25,25.75,17.9375,25.0,18.174274444580078,15594400
1999-05-01,25.0,27.125,20.75,20.9375,15.220951080322266,11294600
1999-06-01,21.0625,21.375,17.375,17.375,12.631113052368164,17900700
1999-07-01,17.625,18.8125,16.0625,18.25,13.319197654724121,25460100
1999-08-01,18.25,20.125,15.9375,15.9375,11.631489753723145,14863400
1999-09-01,16.1875,16.875,14.3125,14.5625,10.627986907958984,10111000
1999-10-01,14.4375,15.1875,12.75,12.75,9.35195255279541,11733000
1999-11-01,12.875,16.5,12.75,16.125,11.827465057373047,12997200
