Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,22.125,22.5,21.125,21.25,4.374075889587402,2903800
1985-02-01,21.25,22.875,21.0,21.125,4.348346710205078,2016700
1985-03-01,21.0,22.875,20.625,22.875,4.708562850952148,3215200
1985-04-01,22.5,24.875,22.25,24.25,4.991594314575195,3603200
1985-05-01,23.5,25.25,22.5,25.125,5.171703815460205,4059900
1985-06-01,25.125,28.125,25.0,27.875,5.737760066986084,3309000
1985-07-01,27.875,28.125,25.0,25.375,5.223160743713379,3816600
1985-08-01,25.125,25.25,23.875,24.375,5.017325401306152,2526200
1985-09-01,24.375,24.875,22.625,23.0,4.7342939376831055,2694700
1985-10-01,23.0,25.625,22.75,24.5,5.043052673339844,4175700
1985-11-01,24.375,26.625,23.875,26.375,5.429001331329346,2611700
1985-12-01,26.25,27.375,25.5,27.25,5.609107971191406,2853900
1986-01-01,27.0,28.125,26.0,27.125,5.58337926864624,4255700
1986-02-01,26.25,29.75,26.0,28.75,5.917867660522461,4606700
1986-03-01,28.75,30.125,28.0,30.0,6.175169944763184,4193200
1986-04-01,30.0,32.0,28.0,28.25,5.814949035644531,7141600
1986-05-01,27.75,29.625,27.0,27.625,5.6862969398498535,6094900
1986-06-01,27.625,29.75,26.5,29.375,6.046515464782715,3887700
1986-07-01,29.375,31.25,28.375,28.5,5.86640739440918,4628700
1986-08-01,27.75,32.0,27.5,31.875,6.561114311218262,5338500
1986-09-01,31.875,31.875,28.0,29.125,5.995057582855225,3353900
1986-10-01,29.25,29.625,28.25,28.375,5.840676784515381,5741100
1986-11-01,28.0,29.25,27.5,29.125,5.995057582855225,3237800
1986-12-01,28.875,29.625,28.125,28.375,5.840676784515381,4033400
1987-01-01,28.5,31.375,28.375,30.5,6.278085708618164,11715200
1987-02-01,30.5,31.75,30.0,31.75,6.535385608673096,6671200
1987-03-01,31.625,32.75,30.25,30.875,6.355276584625244,2972200
1987-04-01,30.5,32.0,28.0,30.25,6.226625442504883,9009700
1987-05-01,29.0,32.0,28.875,31.0,6.52842378616333,2727400
1987-06-01,30.875,33.0,30.375,31.75,6.6863694190979,2928100
1987-07-01,31.875,32.625,29.875,30.0,6.317831039428711,11234800
1987-08-01,29.0,32.0,28.75,29.875,6.432770252227783,3755000
1987-09-01,30.0,31.0,28.5,31.0,6.6750102043151855,1941200
1987-10-01,31.0,31.5,26.375,27.75,5.975212097167969,16178700
1987-11-01,27.75,28.625,26.75,27.25,6.017998695373535,1739100
1987-12-01,27.375,28.625,26.5,27.75,6.128421306610107,2016400
1988-01-01,27.875,29.75,27.875,28.625,6.321658134460449,27503700
1988-02-01,28.875,29.125,27.25,27.5,6.22018575668335,2073800
1988-03-01,27.625,28.0,26.875,27.25,6.163636207580566,1975800
1988-04-01,27.25,28.0,25.0,25.25,5.7112603187561035,12137600
1988-05-01,25.125,25.125,22.75,23.5,5.4582648277282715,3640000
1988-06-01,23.625,24.875,23.0,24.75,5.748598575592041,4161000
1988-07-01,24.75,25.75,23.375,23.625,5.487298011779785,32459000
1988-08-01,23.625,23.875,21.0,22.75,5.437064170837402,3377100
1988-09-01,22.75,23.125,22.125,22.25,5.317568302154541,1982600
1988-10-01,22.25,23.0,16.375,17.5,4.182358264923096,22950600
1988-11-01,17.5,17.5,15.0,15.875,3.950911521911621,4405500
1988-12-01,15.75,16.5,15.25,15.75,3.9198031425476074,6265100
1989-01-01,15.75,16.375,15.0,15.375,3.826475143432617,7039900
1989-02-01,15.25,16.25,15.0,15.0,3.8288674354553223,2492500
1989-03-01,15.125,15.125,13.5,14.25,3.6374244689941406,4613500
1989-04-01,14.125,14.25,13.25,13.25,3.3821678161621094,4421500
1989-05-01,13.375,13.5,11.0,12.875,3.3831050395965576,7745900
1989-06-01,13.0,14.25,11.5,11.875,3.12034010887146,6948200
1989-07-01,11.875,13.0,11.125,11.625,3.05464768409729,9618900
1989-08-01,11.625,13.75,11.5,12.75,3.4566164016723633,8508200
1989-09-01,12.625,13.25,12.0,12.25,3.3210604190826416,4007400
1989-10-01,12.25,12.875,8.625,9.25,2.507742166519165,11986500
1989-11-01,9.25,9.875,5.0,5.25,1.4233126640319824,18217000
1989-12-01,5.25,11.625,5.125,11.125,3.01606822013855,27034100
1990-01-01,11.0,12.25,10.5,10.875,2.9482898712158203,7356500
1990-02-01,11.625,12.125,11.25,12.125,3.2871739864349365,3700900
1990-03-01,12.0,14.375,11.75,14.125,3.829390525817871,6030300
1990-04-01,13.875,14.0,11.875,12.125,3.2871739864349365,4299800
1990-05-01,12.125,16.75,12.0,16.0,4.3377156257629395,10194000
1990-06-01,15.875,16.625,15.5,16.375,4.439379692077637,4726000
1990-07-01,16.25,18.625,16.125,18.125,4.913814544677734,9787200
1990-08-01,18.0,18.125,15.0,16.125,4.371603488922119,8876700
1990-09-01,12.75,13.125,9.375,9.75,2.643294095993042,9570200
1990-10-01,10.0,12.125,9.5,11.25,3.049955129623413,4491900
1990-11-01,11.25,11.625,10.125,11.125,3.01606822013855,3698500
1990-12-01,11.125,11.375,9.75,10.0,2.711071491241455,5772300
1991-01-01,10.125,10.875,9.75,10.5,2.846625328063965,2675100
1991-02-01,10.5,12.5,10.375,11.75,3.185507297515869,3677100
1991-03-01,11.625,12.25,10.5,10.75,2.914400815963745,3799200
1991-04-01,10.75,11.25,10.5,10.75,2.914400815963745,3301200
1991-05-01,10.625,11.0,10.0,10.5,2.846625328063965,2846000
1991-06-01,10.625,10.75,9.625,9.875,2.677182197570801,3073300
1991-07-01,10.125,11.0,9.625,10.625,2.8805129528045654,4780100
1991-08-01,10.75,12.0,10.5,11.75,3.185507297515869,2874000
1991-09-01,11.75,13.125,11.25,13.125,3.5582826137542725,2430700
1991-10-01,13.125,13.25,12.375,13.25,3.5921719074249268,3862300
1991-11-01,13.125,16.125,12.75,16.0,4.3377156257629395,6439500
1991-12-01,16.0,17.875,15.5,17.375,4.710485935211182,5506000
1992-01-01,17.375,18.25,16.75,18.125,4.913814544677734,5039800
1992-02-01,18.0,18.25,17.375,18.0,4.879929065704346,3233700
1992-03-01,17.875,18.125,16.875,17.625,4.778264999389648,3262200
1992-04-01,17.5,17.875,16.875,17.75,4.812150955200195,3058100
1992-05-01,17.75,18.375,17.375,17.875,4.84604024887085,2774100
1992-06-01,17.625,18.25,17.375,18.125,4.913814544677734,3648400
1992-07-01,18.125,19.625,17.875,19.5,5.286588191986084,3069000
1992-08-01,19.25,20.0,19.125,19.5,5.286588191986084,2598500
1992-09-01,19.625,19.75,19.125,19.375,5.252702236175537,2178200
1992-10-01,19.5,20.5,19.125,20.0,5.42214298248291,2662200
1992-11-01,20.0,20.25,19.5,19.625,5.320478439331055,1691800
1992-12-01,19.75,20.375,19.375,20.375,5.523807048797607,2684000
1993-01-01,20.25,20.375,19.625,20.25,5.4899210929870605,3963900
1993-02-01,20.25,21.625,20.125,21.5,5.82880163192749,2318800
1993-03-01,21.625,21.75,21.0,21.625,5.862692356109619,4959500
1993-04-01,21.5,22.5,21.0,22.125,5.998248100280762,2758700
1993-05-01,22.25,22.5,20.875,22.125,5.998248100280762,2949600
1993-06-01,22.0,23.5,21.875,23.125,6.269352912902832,3255500
1993-07-01,23.25,24.5,23.125,24.5,6.642120838165283,3498400
1993-08-01,24.5,25.25,24.0,24.75,6.709903717041016,5324500
1993-09-01,24.75,24.875,24.25,24.375,6.608234882354736,3424900
1993-10-01,24.375,24.375,21.75,23.0,6.235464096069336,4536900
1993-11-01,22.875,23.0,20.375,21.125,5.777378559112549,4944300
1993-12-01,21.125,23.125,20.625,22.375,6.119235038757324,4949400
1994-01-01,22.375,22.875,21.0,22.375,6.119235038757324,6119600
1994-02-01,22.375,22.5,20.25,21.375,5.899999141693115,3103900
1994-03-01,21.125,21.625,19.5,20.0,5.520468711853027,5298300
1994-04-01,19.25,21.0,19.125,20.625,5.692980766296387,4445500
1994-05-01,20.625,20.75,16.0,17.375,4.842022895812988,7646000
1994-06-01,17.25,18.0,16.0,16.375,4.563344955444336,3552600
1994-07-01,16.25,17.875,16.125,17.625,4.911692142486572,6376200
1994-08-01,17.5,18.75,17.5,18.5,5.215137958526611,2184500
1994-09-01,18.375,18.375,16.625,17.875,5.038946151733398,2955300
1994-10-01,18.0,19.0,17.125,18.625,5.250372409820557,4625300
1994-11-01,18.625,19.75,18.25,19.375,5.529506206512451,3989500
1994-12-01,19.375,20.125,19.25,19.625,5.600856304168701,3511400
1995-01-01,19.625,20.875,19.625,20.75,5.921922206878662,4944700
1995-02-01,20.75,21.5,20.625,21.5,6.204482078552246,4136600
1995-03-01,21.375,21.375,20.0,20.875,6.024118423461914,4506800
1995-04-01,20.875,22.0,20.875,21.5,6.204482078552246,4713100
1995-05-01,21.5,23.5,21.0,23.0,6.707136154174805,5796400
1995-06-01,23.0,24.75,22.875,24.5,7.144561290740967,4967700
1995-07-01,24.375,24.625,23.375,24.375,7.108107089996338,4294900
1995-08-01,24.25,25.0,24.0,24.875,7.321151256561279,3624500
1995-09-01,24.75,26.5,24.5,26.25,7.725837230682373,3742400
1995-10-01,26.25,28.125,26.125,27.5,8.09373664855957,3879000
1995-11-01,27.5,28.125,27.0,27.25,8.094073295593262,2986100
1995-12-01,27.25,28.875,27.0,28.75,8.539621353149414,4642600
1996-01-01,28.625,30.25,28.5,29.5,8.76239013671875,5232300
1996-02-01,29.5,29.75,28.125,28.25,8.462220191955566,3660400
1996-03-01,28.375,29.0,26.25,28.875,8.649435997009277,6158600
1996-04-01,28.75,29.125,26.375,26.625,7.975453853607178,7034400
1996-05-01,26.5,27.75,26.25,26.5,8.01254653930664,3675300
1996-06-01,26.625,30.375,26.375,30.375,9.18419361114502,4833700
1996-07-01,30.0,30.0,28.125,28.25,8.541677474975586,4366400
1996-08-01,28.25,29.375,28.0,28.75,8.769107818603516,2342900
1996-09-01,28.5,29.875,28.0,29.625,9.035992622375488,2659200
1996-10-01,29.625,31.125,29.5,30.875,9.417258262634277,4142400
1996-11-01,31.0,32.25,30.625,31.125,9.578134536743164,4838900
1996-12-01,31.25,31.875,30.125,31.75,9.77047061920166,3629300
1997-01-01,31.75,32.875,30.625,31.625,9.732001304626465,5359300
1997-02-01,31.5,31.875,30.625,31.25,9.700958251953125,2537600
1997-03-01,31.375,32.0,30.125,30.125,9.351724624633789,4070300
1997-04-01,30.0,30.625,27.625,28.5,8.84727668762207,5431600
1997-05-01,28.625,30.125,28.375,29.375,9.206206321716309,6280800
1997-06-01,29.375,30.75,29.375,30.0625,9.421669960021973,4902300
1997-07-01,30.0625,31.6875,29.8125,31.5625,9.891768455505371,3377600
1997-08-01,31.5625,33.125,31.0625,32.3125,10.215831756591797,5031800
1997-09-01,32.5,34.875,32.375,33.625,10.630789756774902,3251300
1997-10-01,33.625,35.25,33.1875,34.8125,11.0062255859375,3559800
1997-11-01,35.0,38.6875,34.5,38.5625,12.3003511428833,4579400
1997-12-01,38.5625,42.75,38.0625,42.375,13.516429901123047,4544700
1998-01-01,42.125,42.25,39.375,40.0,12.758869171142578,6963600
1998-02-01,40.0625,41.25,39.9375,40.8125,13.114884376525879,3635600
1998-03-01,40.5625,45.0,40.3125,44.4375,14.279748916625977,4491500
1998-04-01,44.5625,44.9375,42.0,44.25,14.21950626373291,5192100
1998-05-01,44.5,45.25,42.75,44.9375,14.541891098022461,5283800
1998-06-01,44.875,46.1875,44.3125,45.0,14.562103271484375,4487700
1998-07-01,45.1875,45.5625,42.25,42.75,13.834004402160645,4624500
1998-08-01,42.6875,43.75,40.0625,43.1875,14.074786186218262,7310700
1998-09-01,43.125,44.8125,40.6875,44.8125,14.604371070861816,6548200
1998-10-01,44.625,49.25,42.5,43.8125,14.278471946716309,14478000
1998-11-01,43.5625,47.0,43.5625,45.5625,14.958348274230957,5191800
1998-12-01,45.3125,46.75,41.625,42.375,13.911879539489746,6987300
1999-01-01,42.625,43.375,39.8125,40.0,13.132158279418945,8979000
1999-02-01,39.75,40.5625,35.9375,36.125,11.95402717590332,9173700
1999-03-01,35.9375,38.875,35.9375,36.375,12.036748886108398,7109400
1999-04-01,36.25,39.5,36.25,38.8125,12.843335151672363,8963400
1999-05-01,38.6875,42.5625,38.25,41.875,13.976469039916992,4634600
1999-06-01,41.75,42.125,39.875,40.25,13.434101104736328,5548100
1999-07-01,40.25,41.3125,39.25,39.9375,13.329803466796875,4453100
1999-08-01,39.9375,40.4375,38.0,38.0,12.786368370056152,3405200
1999-09-01,38.1875,38.4375,34.6875,36.375,12.239583969116211,7488200
1999-10-01,36.375,38.125,34.75,36.875,12.407824516296387,12546700
1999-11-01,36.9375,37.375,30.75,33.1875,11.274979591369629,4548200
1999-12-01,32.9375,34.0,30.1875,30.5625,10.383171081542969,7615200
2000-01-01,30.3125,32.3125,29.375,30.875,10.489337921142578,8795500
2000-02-01,30.75,31.9375,26.25,27.5,9.447288513183594,5196100
2000-03-01,27.625,29.9375,25.6875,28.1875,9.683469772338867,10734200
2000-04-01,28.375,35.25,27.875,35.0625,12.045289993286133,8256300
2000-05-01,35.0,38.125,33.1875,35.75,12.405519485473633,10329300
2000-06-01,35.75,36.3125,33.625,33.875,11.754888534545898,6273800
2000-07-01,33.9375,39.75,33.8125,39.5625,13.728494644165039,7106300
2000-08-01,39.8125,42.625,39.625,41.203125,14.426233291625977,7399300
2000-09-01,41.5,51.3125,41.375,50.890625,17.81808090209961,6868500
2000-10-01,50.75,52.6875,41.25,43.4375,15.208553314208984,9453900
2000-11-01,43.625,47.25,42.6875,46.5625,16.4482421875,4390500
2000-12-01,46.5,48.125,44.9375,47.625,16.823577880859375,5282400
2001-01-01,47.375,47.8125,39.0625,43.16999816894531,15.249839782714844,6737900
2001-02-01,42.0,47.959999084472656,41.75,46.45000076293945,16.549264907836914,6946200
2001-03-01,46.41999816894531,46.79999923706055,40.5,45.869998931884766,16.342620849609375,6388700
2001-04-01,45.900001525878906,50.650001525878906,45.20000076293945,50.189998626708984,17.88175392150879,9172200
2001-05-01,50.20000076293945,50.70000076293945,47.880001068115234,49.95000076293945,17.929738998413086,5688200
2001-06-01,49.97999954223633,50.0,45.400001525878906,47.400001525878906,17.014406204223633,6969400
2001-07-01,47.45000076293945,49.93000030517578,39.95000076293945,42.279998779296875,15.176555633544922,9799100
2001-08-01,42.25,44.959999084472656,42.0,44.61000061035156,16.15631675720215,5671300
2001-09-01,44.54999923706055,45.2400016784668,37.650001525878906,39.70000076293945,14.378074645996094,5631700
