Date,Open,High,Low,Close,Adj Close,Volume
1997-07-01,27.25,28.625,23.75,26.8125,20.508485794067383,15112900
1997-08-01,26.3125,28.4375,22.875,26.25,20.078237533569336,11577500
1997-09-01,26.375,27.75,24.0,26.1875,20.030427932739258,11480000
1997-10-01,27.375,27.5,22.8125,26.0,19.88701820373535,10655800
1997-11-01,26.6875,29.75,25.1875,27.0,20.651901245117188,7933900
1997-12-01,27.25,28.75,21.75,24.25,18.548460006713867,8150500
1998-01-01,23.75,26.4375,22.625,25.75,19.69579315185547,7559600
1998-02-01,27.0,29.0,25.5,28.25,21.607999801635742,7164900
1998-03-01,28.0625,31.0,27.375,30.0625,22.994356155395508,6290900
1998-04-01,30.0625,30.1875,26.875,28.125,21.51238441467285,5767600
1998-05-01,28.0,31.375,27.1875,30.5,23.32899284362793,4831800
1998-06-01,30.5,30.5,26.8125,28.0,21.416780471801758,3850800
1998-07-01,28.0,29.6875,26.0,27.125,20.74751091003418,6499900
1998-08-01,26.875,28.125,21.8125,21.9375,16.779664993286133,3722800
1998-09-01,23.0,23.375,19.5625,19.9375,15.249902725219727,5988600
1998-10-01,19.625,24.78125,16.625,20.8125,15.91916561126709,5317400
1998-11-01,21.1875,24.625,17.5625,18.625,14.245983123779297,11199400
1998-12-01,18.5,19.625,15.875,19.1875,14.676229476928711,6050700
1999-01-01,19.3125,24.875,18.375,24.875,19.02651596069336,8486800
1999-02-01,24.875,25.375,19.125,19.9375,15.249902725219727,4373600
1999-03-01,19.8125,22.0625,19.1875,19.875,15.202086448669434,3926200
1999-04-01,19.625,24.0,19.4375,22.25,17.018693923950195,3823300
1999-05-01,22.0625,25.375,20.3125,20.625,15.77575969696045,3456900
1999-06-01,21.0,21.0,18.1875,19.0,14.532815933227539,4815100
1999-07-01,19.0,20.375,17.9375,19.5,14.915263175964355,5318400
1999-08-01,19.5,20.875,18.0,19.375,14.819652557373047,3627200
1999-09-01,19.375,20.25,17.5,17.9375,13.72012996673584,2462500
1999-10-01,17.8125,20.25,17.25,18.5,14.150373458862305,2699000
1999-11-01,18.5,18.5,16.0625,17.375,13.289874076843262,3177800
1999-12-01,17.5625,18.0,16.125,17.0625,13.050863265991211,4028000
2000-01-01,17.3125,18.4375,14.5625,14.875,11.377668380737305,4936300
2000-02-01,14.8125,17.4375,14.125,16.75,12.81182861328125,5552000
2000-03-01,16.5625,20.75,15.25,18.6875,14.293787956237793,5162000
2000-04-01,18.75,20.5,15.4375,16.25,12.429383277893066,3023200
2000-05-01,16.25,17.0625,12.75,14.0,10.708390235900879,2814400
2000-06-01,13.9375,16.375,13.375,14.25,10.899617195129395,3044200
2000-07-01,14.5625,17.375,14.5625,16.1875,12.381577491760254,1843000
2000-08-01,16.3125,20.25,16.125,19.375,14.819652557373047,2454800
2000-09-01,19.1875,19.6875,16.0625,16.125,12.333773612976074,1583900
2000-10-01,16.25,20.0,15.875,19.625,15.01086711883545,2426400
2000-11-01,19.625,23.25,19.625,20.9375,16.014781951904297,2615700
2000-12-01,20.9375,23.0625,20.9375,22.3125,17.066495895385742,3055500
2001-01-01,22.5625,27.5,21.9375,25.389999389648438,19.420429229736328,4317100
2001-02-01,25.600000381469727,30.450000762939453,24.200000762939453,29.299999237060547,22.4111328125,5051300
2001-03-01,29.049999237060547,29.950000762939453,24.5,27.5,21.034339904785156,3593200
2001-04-01,26.75,27.5,21.5,26.0,19.88701820373535,4268000
