Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,8.0625,9.625,8.0625,9.5,4.361048698425293,4247400
1985-02-01,9.5,9.625,7.625,7.8125,3.586388111114502,2603000
1985-03-01,7.875,8.25,7.25,7.875,3.6150808334350586,1962000
1985-04-01,7.875,8.25,7.625,7.9375,3.643770933151245,2568600
1985-05-01,8.0,9.25,7.9375,9.25,4.246282577514648,6675800
1985-06-01,9.25,9.375,8.9375,9.1875,4.217592716217041,4231400
1985-07-01,9.1875,10.875,9.0625,10.125,4.6479597091674805,9193400
1985-08-01,10.3125,11.125,9.875,10.875,4.992255687713623,7505600
1985-09-01,10.875,10.9375,9.6875,9.6875,4.4471211433410645,4177600
1985-10-01,9.6875,9.75,8.1875,8.375,3.844604969024658,6853600
1985-11-01,8.375,9.5625,8.375,9.375,4.30366849899292,3742200
1985-12-01,9.375,10.9375,9.3125,10.8125,4.963562488555908,6492200
1986-01-01,10.8125,11.875,10.1875,11.25,5.164400577545166,12714400
1986-02-01,11.25,12.875,11.0625,12.75,5.852986812591553,6521600
1986-03-01,12.75,13.9375,12.6875,13.8125,6.340734481811523,5756000
1986-04-01,13.8125,14.875,12.875,14.125,6.484190940856934,7501200
1986-05-01,14.125,15.0625,13.1875,15.0625,6.9145588874816895,5485000
1986-06-01,15.0625,15.8125,14.0,15.8125,7.258853912353516,5585200
1986-07-01,15.8125,15.8125,13.0,15.0625,6.9145588874816895,6887800
1986-08-01,15.125,15.625,12.875,13.1875,6.053824424743652,5473000
1986-09-01,13.1875,13.1875,11.1875,12.0,5.508692741394043,7288600
1986-10-01,12.0,13.6875,11.875,13.0,5.967750072479248,2733200
1986-11-01,13.0,13.0625,11.8125,12.4375,5.709530830383301,4378600
1986-12-01,12.375,13.0625,11.8125,12.0,5.508692741394043,4195400
1987-01-01,11.8125,13.9375,11.8125,12.8125,5.881675720214844,7083800
1987-02-01,12.8125,13.875,12.4375,12.5625,5.766912460327148,6453200
1987-03-01,12.5,14.4375,12.4375,13.1875,6.053824424743652,6562000
1987-04-01,13.0625,15.0,12.875,13.75,6.312043190002441,9264800
1987-05-01,13.75,14.1875,12.6875,13.9375,6.398118019104004,3850200
1987-06-01,14.0,14.0625,11.0,11.4375,5.250473976135254,10452000
1987-07-01,11.5,12.9375,10.75,12.9375,5.939061164855957,9193400
1987-08-01,12.875,14.1875,11.9375,12.75,5.852986812591553,8633000
1987-09-01,12.8125,12.9375,11.5,12.5,5.738222599029541,4651800
1987-10-01,12.5,12.5,8.375,10.125,4.6479597091674805,5308400
1987-11-01,10.0625,10.1875,8.1875,8.1875,3.7585365772247314,3261000
1987-12-01,8.375,8.875,8.125,8.4375,3.8732974529266357,5248800
1988-01-01,8.5,9.75,8.4375,9.625,4.418432712554932,3251200
1988-02-01,9.625,10.0625,9.625,10.0,4.620345592498779,2427200
1988-03-01,10.0625,10.5,9.5625,9.875,4.562594890594482,2579800
1988-04-01,9.8125,10.375,9.75,9.8125,4.533714771270752,2219800
1988-05-01,9.875,9.875,9.0,9.375,4.358055114746094,2185400
1988-06-01,9.375,9.9375,9.1875,9.625,4.474268436431885,4308400
1988-07-01,9.625,9.875,9.375,9.625,4.474268436431885,2653800
1988-08-01,9.625,10.3125,9.4375,10.0625,4.677644729614258,4030200
1988-09-01,10.0,10.25,9.75,10.0625,4.708213806152344,2767000
1988-10-01,10.0,10.1875,9.875,10.0625,4.708213806152344,2051600
1988-11-01,10.0625,10.3125,9.375,9.5,4.472806453704834,2905800
1988-12-01,9.5,10.0,9.25,10.0,4.708215713500977,3044000
1989-01-01,9.875,10.125,9.3125,9.4375,4.443380832672119,2665400
1989-02-01,9.375,10.0625,9.125,9.25,4.355101108551025,3556800
1989-03-01,9.125,9.5625,9.0625,9.1875,4.325673580169678,2630000
1989-04-01,9.125,9.5,8.6875,8.9375,4.207968711853027,3531000
1989-05-01,8.9375,9.5,8.875,9.25,4.355101108551025,1979800
1989-06-01,9.3125,10.3125,9.125,9.3125,4.414355754852295,6593600
1989-07-01,9.375,10.5,9.25,10.4375,4.947629451751709,3233000
1989-08-01,10.4375,11.9375,9.75,10.5625,5.0068864822387695,10744800
1989-09-01,10.4375,12.1875,10.375,11.625,5.545193672180176,5489800
1989-10-01,11.4375,11.8125,9.3125,9.75,4.6508073806762695,5744800
1989-11-01,9.8125,10.6875,9.6875,10.6875,5.0980000495910645,2626800
1989-12-01,10.6875,11.0,9.4375,9.875,4.7400593757629395,2175600
1990-01-01,9.9375,10.6875,8.6875,9.25,4.440056324005127,3913800
1990-02-01,9.25,10.125,9.0,9.1875,4.410053730010986,1976200
1990-03-01,9.0625,9.4375,8.5625,9.0625,4.377762317657471,3853800
1990-04-01,8.875,11.625,8.75,11.5625,5.585421562194824,8174400
1990-05-01,11.5625,12.9375,11.125,12.8125,6.1892499923706055,9047200
1990-06-01,13.0,13.4375,11.875,13.1875,6.402902126312256,9209400
1990-07-01,13.25,13.6875,11.6875,12.25,5.947718620300293,8182000
1990-08-01,12.1875,13.0,9.9375,12.375,6.008408069610596,8822000
1990-09-01,12.1875,12.9375,11.1875,12.0625,5.889038562774658,6646200
1990-10-01,12.3125,12.6875,10.25,12.25,5.980578899383545,6261000
1990-11-01,12.125,12.3125,8.5625,9.25,4.515947341918945,9635200
1990-12-01,9.4375,10.6875,9.3125,10.25,5.039146900177002,6544000
1991-01-01,10.125,11.0,8.875,10.9375,5.377144813537598,7150600
1991-02-01,10.9375,11.1875,10.1875,10.5625,5.192787170410156,4151800
1991-03-01,10.5,12.125,10.3125,11.4375,5.656624794006348,5910000
1991-04-01,11.25,11.5625,9.3125,11.1875,5.532982349395752,8351400
1991-05-01,11.1875,12.0,10.0625,11.75,5.811178684234619,5735400
1991-06-01,11.75,11.8125,9.9375,11.1875,5.56338357925415,3219000
1991-07-01,11.1875,11.8125,9.8125,10.25,5.097175121307373,5644200
1991-08-01,10.5,10.5625,9.25,9.9375,4.941776275634766,5006400
1991-09-01,9.9375,10.125,8.875,9.125,4.567007064819336,5008800
1991-10-01,9.3125,9.5625,8.6875,9.1875,4.59829044342041,5731800
1991-11-01,9.1875,10.5625,8.9375,9.625,4.817254066467285,7124000
1991-12-01,9.5625,10.8125,9.4375,10.5,5.289535045623779,6580000
1992-01-01,10.4375,11.125,9.6875,10.4375,5.258049488067627,6442800
1992-02-01,10.5625,10.875,8.9375,9.625,4.848740100860596,6870200
1992-03-01,9.75,9.75,8.9375,9.0,4.565591812133789,3509200
1992-04-01,9.125,9.3125,8.5,9.1875,4.66071081161499,3298200
1992-05-01,9.1875,10.3125,8.9375,9.9375,5.041174411773682,4165400
1992-06-01,10.0625,10.375,9.0,9.8125,5.008874893188477,3460000
1992-07-01,9.8125,9.9375,9.125,9.75,4.9769697189331055,2716800
