Date,Open,High,Low,Close,Adj Close,Volume
1988-09-01,0.0,16.5,13.5,14.0,14.0,18369
1988-10-01,14.0,15.0,13.5,14.0,14.0,8316
1988-11-01,0.0,15.0,12.0,12.75,12.75,12119
1988-12-01,0.0,15.5,13.5,13.75,13.75,20142
1989-01-01,13.75,16.0,13.75,15.0,15.0,12944
1989-02-01,0.0,16.0,13.0,13.0,13.0,6355
1989-03-01,0.0,15.0,12.0,12.0,12.0,11418
1989-04-01,0.0,13.5,9.5,11.0,11.0,9505
1989-05-01,11.0,13.5,8.0,12.0,12.0,12219
1989-06-01,0.0,13.5,10.5,10.5,10.5,6153
1989-07-01,10.5,12.5,10.5,12.0,12.0,2402
1989-08-01,0.0,14.0,11.0,12.0,12.0,8543
1989-09-01,0.0,13.0,11.0,11.0,11.0,7818
1989-10-01,11.0,13.0,11.0,12.0,12.0,17365
1989-11-01,0.0,15.0,11.0,11.0,11.0,11892
1989-12-01,0.0,13.5,11.5,12.0,12.0,12366
1990-01-01,0.0,12.5,11.0,11.0,11.0,12853
1990-02-01,0.0,12.5,10.5,12.0,12.0,19366
1990-03-01,0.0,15.5,11.5,11.5,11.5,11368
1990-04-01,0.0,12.5,10.0,11.5,11.5,8080
1990-05-01,0.0,13.5,11.5,12.0,12.0,13755
1990-06-01,0.0,13.5,11.0,11.0,11.0,15817
1990-07-01,0.0,12.0,10.0,11.0,11.0,8143
1990-08-01,11.0,14.5,11.0,11.5,11.5,9730
1990-09-01,0.0,13.0,11.0,11.0,11.0,10980
1990-10-01,0.0,12.0,9.0,9.0,9.0,5928
1990-11-01,0.0,10.5,7.0,8.0,8.0,17204
1990-12-01,8.0,9.75,7.0,7.5,7.5,15768
1991-01-01,7.5,9.5,7.5,7.5,7.5,11291
1991-02-01,7.5,9.0,7.5,7.5,7.5,8352
1991-03-01,0.0,9.5,7.5,8.0,8.0,10165
1991-04-01,0.0,9.5,7.5,8.0,8.0,11030
1991-05-01,0.0,11.5,8.0,10.0,10.0,9342
1991-06-01,0.0,11.0,9.0,9.0,9.0,7604
1991-07-01,0.0,10.0,6.5,7.0,7.0,23778
1991-08-01,0.0,9.0,6.5,7.0,7.0,4478
1991-09-01,0.0,9.0,6.5,7.0,7.0,5515
1991-10-01,7.0,12.0,6.5,8.75,8.75,22330
1991-11-01,0.0,10.0,7.5,7.5,7.5,10216
1991-12-01,0.0,10.0,7.5,9.0,9.0,23355
1992-01-01,0.0,11.0,7.5,7.5,7.5,7004
1992-02-01,0.0,9.5,7.5,8.0,8.0,18092
1992-03-01,0.0,9.5,7.0,7.0,7.0,10617
1992-04-01,0.0,9.0,6.0,6.5,6.5,6227
1992-05-01,6.5,8.0,6.0,6.0,6.0,7877
1992-06-01,6.0,7.5,5.0,5.5,5.5,5376
1992-07-01,5.5,7.0,5.0,5.0,5.0,2866
1992-08-01,7.0,7.0,5.0,5.5,5.5,5079
1992-09-01,5.5,11.0,5.5,8.0,8.0,34914
1992-10-01,8.0,9.0,7.5,8.0,8.0,10931
1992-11-01,7.0,8.5,7.0,7.0,7.0,13680
1992-12-01,8.0,8.0,5.0,6.0,6.0,52431
1993-01-01,7.5,8.5,6.5,8.5,8.5,14367
1993-02-01,8.5,9.0,7.0,7.5,7.5,14090
1993-03-01,7.5,7.5,6.0,6.5,6.5,3603
1993-04-01,6.0,7.5,6.0,6.5,6.5,21229
1993-05-01,7.0,11.5,7.0,11.5,11.5,37329
1993-06-01,12.0,13.0,9.5,9.5,9.5,49515
1993-07-01,9.5,11.5,9.5,10.0,10.0,4415
1993-08-01,10.0,11.0,9.5,9.75,9.75,5366
1993-09-01,10.0,10.0,8.0,9.0,9.0,7690
1993-10-01,9.0,9.5,7.75,9.0,9.0,6316
1993-11-01,9.0,9.5,7.75,8.0,8.0,5154
1993-12-01,8.0,8.25,5.5,6.25,6.25,22881
1994-01-01,6.25,7.0,6.0,6.25,6.25,10381
1994-02-01,7.0,8.0,6.25,6.5,6.5,14855
1994-03-01,6.5,7.5,6.25,6.5,6.5,9230
1994-04-01,6.0,6.5,5.5,5.75,5.75,8589
1994-05-01,5.75,6.25,5.5,5.75,5.75,16841
1994-06-01,5.75,6.5,5.5,5.5,5.5,10815
1994-07-01,5.5,6.0,5.25,5.25,5.25,8529
1994-08-01,6.0,6.25,5.5,5.75,5.75,35918
1994-09-01,5.75,6.25,5.0,5.5,5.5,8718
1994-10-01,6.0,7.75,5.0,7.5,7.5,44731
1994-11-01,7.5,8.0,6.0,7.0,7.0,40752
1994-12-01,6.0,7.0,5.0,5.25,5.25,81153
1995-01-01,5.75,8.0,5.5,8.0,8.0,120319
1995-02-01,8.5,12.5,7.5,11.5,11.5,227643
1995-03-01,11.75,13.0,10.5,12.0,12.0,184018
1995-04-01,12.25,13.5,11.25,13.5,13.5,196304
1995-05-01,13.75,21.5,13.5,16.5,16.5,434993
1995-06-01,16.5,18.0,14.5,15.5,15.5,233866
1995-07-01,14.75,16.0,12.0,15.5,15.5,137930
1995-08-01,14.25,16.5,13.75,16.0,16.0,120930
1995-09-01,16.0,18.0,15.0,16.25,16.25,105717
1995-10-01,18.5,35.0,18.0,24.5,24.5,1430206
1995-11-01,24.5,25.0,18.75,20.5,20.5,447693
1995-12-01,20.5,20.5,16.0,16.25,16.25,387518
1996-01-01,16.25,20.0,15.5,19.25,19.25,348702
1996-02-01,19.25,20.5,18.0,18.5,18.5,124468
1996-03-01,18.5,20.5,16.75,19.0,19.0,192756
1996-04-01,19.0,24.5,19.0,21.0,21.0,225715
1996-05-01,21.0,22.0,19.0,20.0,20.0,158606
1996-06-01,20.0,21.0,18.5,20.0,20.0,85354
1996-07-01,20.0,21.0,16.25,20.0,20.0,117068
1996-08-01,19.5,25.0,18.5,24.0,24.0,277569
1996-09-01,24.0,24.25,20.5,21.0,21.0,119742
1996-10-01,21.0,25.0,20.0,23.875,23.875,148943
1996-11-01,23.0,29.5,23.0,28.5,28.5,218455
1996-12-01,28.5,28.5,24.0,26.75,26.75,125979
1997-01-01,27.0,33.0,23.75,25.5,25.5,263583
1997-02-01,25.75,25.75,19.0,20.0,20.0,138019
1997-03-01,21.0,23.5,20.0,22.0,22.0,77142
1997-04-01,21.75,22.5,17.5,18.125,18.125,87457
1997-05-01,18.0,20.5,16.75,19.5,19.5,89118
1997-06-01,19.0,20.0,18.0,18.25,18.25,74055
1997-07-01,18.25,25.5,18.0,19.5,19.5,148542
1997-08-01,20.0,32.0,18.25,28.25,28.25,761280
1997-09-01,28.75,32.0,23.75,28.5,28.5,292532
1997-10-01,28.75,30.5,23.5,24.25,24.25,170555
1997-11-01,25.5,26.5,23.0,25.5,25.5,106317
1997-12-01,25.5,25.75,20.0,21.25,21.25,175580
1998-01-01,22.0,25.0,20.0,24.0,24.0,138455
1998-02-01,24.75,25.25,21.0,21.25,21.25,104017
1998-03-01,21.0,24.0,20.0,21.5,21.5,131043
1998-04-01,22.0,24.0,20.5,21.0,21.0,107841
1998-05-01,21.0,21.5,17.5,19.0,19.0,107254
1998-06-01,19.5,21.75,18.0,18.25,18.25,104519
1998-07-01,18.0,19.5,14.5,16.0,16.0,126080
1998-08-01,16.0,16.0,9.75,9.75,9.75,103745
1998-09-01,10.75,15.0,9.0,15.0,15.0,127844
1998-10-01,15.0,16.0,9.0,16.0,16.0,134154
1998-11-01,15.75,16.0,10.5,11.0,11.0,88455
1998-12-01,12.0,14.0,10.0,10.75,10.75,202218
1999-01-01,10.75,14.0,10.125,11.25,11.25,101808
1999-02-01,11.0,11.5,10.25,11.0,11.0,55704
1999-03-01,10.75,14.5,10.25,14.0,14.0,125642
1999-04-01,14.25,14.25,10.0,11.75,11.75,132369
1999-05-01,11.0,12.25,9.5,10.25,10.25,108030
1999-06-01,10.125,20.0,9.75,19.25,19.25,256168
1999-07-01,22.0,22.5,13.0,19.25,19.25,182770
1999-08-01,19.875,20.0,14.25,16.0,16.0,123307
1999-09-01,16.0,16.25,13.0,14.0,14.0,92405
1999-10-01,13.25,15.25,12.0,14.25,14.25,91156
1999-11-01,14.5,15.75,11.0,12.25,12.25,123933
1999-12-01,12.0,12.25,9.25,10.0,10.0,324254
2000-01-01,10.5,11.0,9.25,10.0,10.0,137791
2000-02-01,10.25,11.5,9.75,10.0,10.0,167518
2000-03-01,10.125,15.75,9.75,11.0,11.0,385531
2000-04-01,11.125,11.5,9.25,9.5,9.5,134229
2000-05-01,9.0,10.0,8.875,9.25,9.25,121705
2000-06-01,9.5,12.0,9.0,10.25,10.25,167369
2000-07-01,10.25,11.0,9.0,9.0,9.0,124328
2000-08-01,9.25,10.0,7.75,9.25,9.25,113405
2000-09-01,9.25,11.0,8.5,10.0,10.0,170518
2000-10-01,9.75,10.25,8.5,9.25,9.25,156093
2000-11-01,9.5,9.5,6.5,7.0,7.0,175393
2000-12-01,7.0,8.75,5.75,7.75,7.75,307781
2001-01-01,8.0,9.5,8.0,8.0,8.0,105770
2001-02-01,8.25,8.5,7.5,7.5,7.5,52253
2001-03-01,7.5,8.0,6.5,6.75,6.75,100105
2001-04-01,7.0,8.0,6.079999923706055,7.760000228881836,7.760000228881836,83517
2001-05-01,7.679999828338623,13.199999809265137,7.28000020980835,10.399999618530273,10.399999618530273,184506
2001-06-01,10.239999771118164,10.800000190734863,8.15999984741211,8.5600004196167,8.5600004196167,73781
2001-07-01,8.5600004196167,8.800000190734863,8.0,8.15999984741211,8.15999984741211,48605
2001-08-01,8.15999984741211,8.960000038146973,8.15999984741211,8.399999618530273,8.399999618530273,44544
2001-09-01,8.399999618530273,8.800000190734863,6.320000171661377,7.039999961853027,7.039999961853027,62465
2001-10-01,7.119999885559082,8.800000190734863,6.800000190734863,7.840000152587891,7.840000152587891,79992
2001-11-01,7.760000228881836,8.399999618530273,6.960000038146973,7.199999809265137,7.199999809265137,55604
2001-12-01,6.880000114440918,7.360000133514404,6.320000171661377,6.880000114440918,6.880000114440918,118118
2002-01-01,6.960000038146973,7.039999961853027,5.599999904632568,5.679999828338623,5.679999828338623,66904
2002-02-01,5.599999904632568,6.159999847412109,5.119999885559082,6.0,6.0,68818
2002-03-01,6.0,7.599999904632568,5.840000152587891,6.559999942779541,6.559999942779541,66205
2002-04-01,6.639999866485596,8.880000114440918,6.480000019073486,8.079999923706055,8.079999923706055,148969
2002-05-01,8.399999618530273,8.479999542236328,7.28000020980835,7.760000228881836,7.760000228881836,72517
2002-06-01,7.760000228881836,7.840000152587891,6.400000095367432,7.039999961853027,7.039999961853027,42805
2002-07-01,6.71999979019165,7.440000057220459,5.039999961853027,7.199999809265137,7.199999809265137,86620
2002-08-01,7.519999980926514,8.5600004196167,6.639999866485596,7.199999809265137,7.199999809265137,101205
2002-09-01,7.28000020980835,7.599999904632568,6.0,6.079999923706055,6.079999923706055,27891
2002-10-01,6.0,7.199999809265137,5.440000057220459,6.639999866485596,6.639999866485596,41231
2002-11-01,6.0,7.28000020980835,5.920000076293945,6.559999942779541,6.559999942779541,28057
2002-12-01,6.800000190734863,7.119999885559082,5.840000152587891,6.800000190734863,6.800000190734863,82244
2003-01-01,6.639999866485596,8.239999771118164,6.559999942779541,7.199999809265137,7.199999809265137,95628
2003-02-01,7.199999809265137,8.0,6.480000019073486,7.119999885559082,7.119999885559082,90579
2003-03-01,7.039999961853027,8.0,6.559999942779541,6.800000190734863,6.800000190734863,108891
2003-04-01,6.639999866485596,7.199999809265137,6.320000171661377,6.71999979019165,6.71999979019165,61804
