Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,4.25,4.859375,4.046875,4.75,2.3458828926086426,33967200
1985-02-01,4.71875,5.484375,4.65625,5.234375,2.5851008892059326,30722400
1985-03-01,5.234375,5.71875,4.96875,5.671875,2.801168441772461,40495200
1985-04-01,5.5,5.9375,5.40625,5.875,2.933488368988037,18419200
1985-05-01,5.875,6.5,5.765625,6.5,3.2455599308013916,12843200
1985-06-01,6.53125,6.875,6.15625,6.875,3.4328043460845947,14130400
1985-07-01,6.875,7.46875,6.625,7.046875,3.549870252609253,17815200
1985-08-01,7.015625,7.0625,6.375,6.65625,3.3530921936035156,13273600
1985-09-01,6.625,6.65625,5.625,5.75,2.896569013595581,28925600
1985-10-01,5.8125,6.15625,5.515625,6.140625,3.1208152770996094,17800000
1985-11-01,6.140625,6.390625,6.09375,6.296875,3.200227975845337,15376800
1985-12-01,6.265625,6.46875,5.9375,6.125,3.1128740310668945,19849600
1986-01-01,6.09375,6.921875,6.078125,6.875,3.5255343914031982,19016800
1986-02-01,6.875,7.484375,6.703125,7.484375,3.838027000427246,14120800
1986-03-01,7.484375,8.125,7.0625,8.09375,4.150516510009766,19883200
1986-04-01,8.09375,8.15625,7.3125,7.34375,3.795816659927368,21720000
1986-05-01,7.3125,7.578125,6.96875,7.46875,3.8604238033294678,25123200
1986-06-01,7.453125,7.46875,7.046875,7.125,3.6827497482299805,19397600
1986-07-01,7.09375,7.15625,6.28125,6.5,3.385857582092285,24613600
1986-08-01,6.484375,7.375,6.421875,7.375,3.841644763946533,17392000
1986-09-01,7.375,7.46875,6.515625,6.890625,3.5893332958221436,18088800
1986-10-01,6.90625,7.5625,6.875,7.5,3.9368510246276855,20699200
1986-11-01,7.5,8.625,7.421875,8.421875,4.420751094818115,46972800
1986-12-01,8.484375,8.75,7.84375,7.875,4.1336894035339355,37509600
1987-01-01,7.890625,8.640625,7.78125,7.859375,4.153863430023193,28369600
1987-02-01,7.8125,8.375,7.75,8.296875,4.38509464263916,26072800
1987-03-01,8.296875,8.984375,7.90625,8.546875,4.517226219177246,31731200
1987-04-01,8.484375,8.8125,7.625,7.75,4.124946594238281,22164000
1987-05-01,7.78125,8.09375,7.125,7.25,3.8588194847106934,34184000
1987-06-01,7.15625,7.71875,7.15625,7.59375,4.041784286499023,29951600
1987-07-01,7.625,9.9375,7.53125,8.90625,4.781230449676514,67174000
1987-08-01,8.875,9.21875,8.40625,8.5625,4.596688747406006,44863600
1987-09-01,8.53125,8.84375,7.8125,8.4375,4.529584884643555,28635600
1987-10-01,8.46875,8.53125,4.3125,5.53125,2.991722345352173,46206000
1987-11-01,5.5,6.1875,4.875,5.03125,2.7212841510772705,22720000
1987-12-01,5.15625,5.65625,4.8125,5.65625,3.0593302249908447,29043600
1988-01-01,5.5625,6.09375,5.15625,5.84375,3.200254440307617,25583200
1988-02-01,6.0,6.25,5.75,6.125,3.354276657104492,14530800
1988-03-01,6.125,7.5,5.6875,6.5,3.5596401691436768,36106000
1988-04-01,6.4375,6.84375,5.90625,6.40625,3.545037269592285,23107200
1988-05-01,6.3125,6.375,5.6875,5.8125,3.2164721488952637,18586800
1988-06-01,5.875,6.4375,5.625,6.0,3.320230007171631,36919200
1988-07-01,6.0625,6.53125,5.90625,6.0625,3.3903167247772217,16362400
1988-08-01,6.0625,6.4375,5.5625,6.28125,3.5126454830169678,23732800
1988-09-01,6.28125,6.59375,6.09375,6.53125,3.6524529457092285,20604800
1988-10-01,6.5,6.90625,5.9375,6.15625,3.478235960006714,19332800
1988-11-01,6.21875,6.46875,5.75,5.875,3.3193318843841553,12053200
1988-12-01,5.875,6.1875,5.75,5.9375,3.3546454906463623,18545200
1989-01-01,5.9375,6.5625,5.8125,6.5625,3.7467925548553467,16557600
1989-02-01,6.59375,7.03125,6.5,6.75,3.8538403511047363,21852400
1989-03-01,6.78125,7.25,6.625,6.75,3.8538403511047363,19308800
1989-04-01,6.78125,7.03125,6.6875,6.71875,3.869950294494629,12865600
1989-05-01,6.78125,6.90625,6.40625,6.84375,3.941948413848877,14840000
1989-06-01,6.875,6.96875,6.28125,6.40625,3.6899518966674805,13638800
1989-07-01,6.375,7.09375,6.34375,6.875,3.996112108230591,11744800
1989-08-01,6.9375,7.34375,6.5,6.90625,4.014274597167969,17642400
1989-09-01,6.90625,7.125,6.4375,6.75,3.9234533309936523,16276400
1989-10-01,6.8125,6.96875,6.0625,6.28125,3.6855998039245605,13454800
1989-11-01,6.25,6.28125,5.65625,6.25,3.667262315750122,14285600
1989-12-01,6.21875,6.40625,5.78125,6.15625,3.6122539043426514,13215200
1990-01-01,6.15625,6.28125,5.25,5.375,3.1874003410339355,13523200
1990-02-01,5.375,5.9375,5.28125,5.78125,3.4283053874969482,8677200
1990-03-01,5.78125,6.3125,5.53125,5.65625,3.354182004928589,13998800
1990-04-01,5.5625,6.125,5.5,6.0,3.5956780910491943,14030400
1990-05-01,6.0625,6.21875,5.8125,6.125,3.6705868244171143,13556400
1990-06-01,6.125,6.15625,5.875,5.9375,3.558222770690918,10902400
1990-07-01,5.9375,6.125,5.5625,5.6875,3.4440906047821045,10202400
1990-08-01,5.65625,5.75,4.6875,5.03125,3.046699047088623,13644800
1990-09-01,5.0,5.59375,5.0,5.125,3.1034677028656006,10310800
1990-10-01,5.1875,5.75,4.8125,5.59375,3.427886962890625,13029200
1990-11-01,5.5625,6.1875,5.5,6.0625,3.715141773223877,10310800
1990-12-01,6.09375,6.90625,6.03125,6.84375,4.193896293640137,12441600
1991-01-01,6.8125,6.96875,6.0625,6.96875,4.3142991065979,12499200
1991-02-01,7.0,7.84375,6.9375,7.34375,4.546456336975098,17786000
1991-03-01,7.3125,7.96875,7.25,7.8125,4.836658000946045,16298000
1991-04-01,7.71875,7.96875,7.25,7.96875,4.973992824554443,14302400
1991-05-01,7.90625,8.78125,7.8125,8.75,5.461639404296875,12965600
1991-06-01,8.6875,8.75,7.625,8.03125,5.013005256652832,10324400
1991-07-01,8.09375,8.4375,7.53125,8.34375,5.247972011566162,10238000
1991-08-01,8.28125,8.5625,7.9375,8.34375,5.247972011566162,12485200
1991-09-01,8.375,8.96875,8.21875,8.75,5.503491401672363,14510800
1991-10-01,8.75,9.53125,8.375,9.21875,5.84208345413208,13934000
1991-11-01,9.25,10.0625,8.90625,9.21875,5.84208345413208,11740800
1991-12-01,9.125,10.0,9.0625,9.90625,6.277767181396484,11963600
1992-01-01,9.78125,9.96875,9.03125,9.09375,5.8066606521606445,17281200
1992-02-01,9.09375,9.375,8.59375,9.0625,5.786709308624268,14432400
1992-03-01,9.03125,9.53125,8.96875,9.09375,5.8066606521606445,12072400
1992-04-01,9.03125,9.15625,8.40625,9.03125,5.810576438903809,11404400
1992-05-01,9.03125,9.53125,8.65625,8.96875,5.770366668701172,9952000
1992-06-01,8.875,9.53125,8.625,9.34375,6.011634349822998,11479200
1992-07-01,9.375,9.96875,9.375,9.71875,6.302971839904785,11796400
1992-08-01,9.75,9.8125,9.125,9.125,5.917901992797852,5708000
1992-09-01,9.15625,9.46875,8.78125,9.0,5.8368377685546875,7178800
1992-10-01,9.0625,9.40625,8.6875,9.34375,6.1055097579956055,10818400
1992-11-01,9.34375,10.71875,9.3125,10.625,6.942720890045166,12064000
1992-12-01,10.625,11.21875,9.96875,11.1875,7.310275077819824,16221200
1993-01-01,11.125,11.21875,10.09375,10.9375,7.193485736846924,12839600
1993-02-01,11.0,11.1875,10.28125,10.90625,7.172932147979736,11951200
1993-03-01,10.875,11.875,10.5625,11.8125,7.76896858215332,16256400
1993-04-01,11.9375,12.40625,11.46875,11.75,7.783653259277344,12514800
1993-05-01,11.78125,13.0625,11.6875,13.0625,8.65310287475586,12580000
1993-06-01,13.0625,14.125,12.6875,14.03125,9.294841766357422,14206800
1993-07-01,14.125,14.125,12.75,13.21875,8.807165145874023,10486400
1993-08-01,13.28125,14.71875,13.28125,14.28125,9.515073776245117,16223200
1993-09-01,14.28125,14.65625,13.78125,14.53125,9.681642532348633,14120000
1993-10-01,14.625,14.625,13.5,13.96875,9.356770515441895,15124000
1993-11-01,13.9375,14.28125,13.0,13.78125,9.23117733001709,14696800
1993-12-01,13.71875,14.6875,13.40625,14.5625,9.754484176635742,12810800
1994-01-01,14.5,15.0,14.4375,14.78125,9.957133293151855,12478800
1994-02-01,14.8125,15.15625,14.375,14.5,9.767677307128906,12890000
1994-03-01,14.46875,14.5625,13.4375,13.5,9.094038963317871,16013600
1994-04-01,13.3125,13.6875,12.6875,13.1875,8.937933921813965,12304000
1994-05-01,13.125,14.0625,12.875,14.0,9.488609313964844,13420000
1994-06-01,13.9375,14.1875,12.96875,13.09375,8.874395370483398,9556800
1994-07-01,13.28125,13.59375,12.90625,13.3125,9.08017349243164,8372800
