Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,5.125,6.0,5.125,6.0,0.7765388488769531,142200
1985-02-01,0.0,6.6875,5.75,6.5,0.8412503600120544,380800
1985-03-01,0.0,6.6875,6.375,6.625,0.8574277758598328,265600
1985-04-01,0.0,7.0,6.625,6.9375,0.8978728652000427,174200
1985-05-01,0.0,6.9375,6.625,6.625,0.8574277758598328,156600
1985-06-01,0.0,6.8125,6.375,6.625,0.8574277758598328,138600
1985-07-01,0.0,7.25,6.625,7.0,0.9059613347053528,360800
1985-08-01,7.0,7.25,6.9375,7.0625,0.9140508770942688,166200
1985-09-01,0.0,7.0625,6.5,6.5625,0.8493390679359436,188600
1985-10-01,0.0,6.6875,6.5,6.5625,0.8493390679359436,147600
1985-11-01,0.0,6.8125,6.5,6.8125,0.8816947937011719,103200
1985-12-01,0.0,6.8125,6.5625,6.6875,0.8655171990394592,183600
1986-01-01,0.0,6.9375,6.5625,6.9375,0.8978728652000427,136400
1986-02-01,0.0,6.9375,6.6875,6.9375,0.8978728652000427,269600
1986-03-01,0.0,6.9375,6.25,6.5625,0.8493390679359436,219400
1986-04-01,0.0,7.0625,6.5,7.0,0.9059613347053528,193600
1986-05-01,0.0,7.0,6.6875,6.6875,0.8655171990394592,162200
1986-06-01,0.0,7.0625,6.6875,7.0,0.9059613347053528,222400
1986-07-01,0.0,7.3125,6.875,7.3125,0.9464067816734314,276000
1986-08-01,0.0,8.75,7.1875,8.6875,1.1243641376495361,360400
1986-09-01,0.0,8.75,7.5625,7.625,0.9868509769439697,304000
1986-10-01,0.0,8.1875,7.625,8.0,1.0353854894638062,235800
1986-11-01,0.0,8.125,7.4375,7.5625,0.9787628054618835,125200
1986-12-01,0.0,8.5,7.375,8.4375,1.0920076370239258,1324800
1987-01-01,0.0,8.9375,8.125,8.875,1.1486300230026245,664000
1987-02-01,0.0,9.0625,8.625,8.9375,1.1567190885543823,418400
1987-03-01,0.0,9.25,8.875,9.0,1.1648088693618774,274000
1987-04-01,0.0,9.3125,9.0,9.0625,1.1728975772857666,596400
1987-05-01,0.0,9.1875,8.8125,8.875,1.1486300230026245,231800
1987-06-01,0.0,9.0,8.75,8.875,1.1486300230026245,532800
1987-07-01,0.0,9.1875,8.8125,9.0625,1.1728975772857666,306800
1987-08-01,0.0,9.375,9.0625,9.1875,1.1890747547149658,196800
1987-09-01,0.0,9.375,9.0625,9.25,1.197163462638855,94400
1987-10-01,0.0,9.3125,7.0625,7.3125,0.9464067816734314,403800
1987-11-01,0.0,7.9375,7.125,7.75,1.017525553703308,237400
1987-12-01,0.0,8.75,7.75,8.5625,1.1242016553878784,161800
1988-01-01,0.0,8.75,8.25,8.5,1.1159958839416504,221200
1988-02-01,0.0,8.9375,8.5,8.875,1.1831942796707153,359600
