Date,Open,High,Low,Close,Adj Close,Volume
1988-07-01,0.0,4.875,3.875,3.875,2.205193519592285,295500
1988-08-01,0.0,4.125,2.625,2.75,1.5649757385253906,326500
1988-09-01,2.75,3.25,2.375,2.625,1.4938400983810425,420100
1988-10-01,0.0,2.75,2.25,2.625,1.4938400983810425,404100
1988-11-01,0.0,3.375,2.5,2.625,1.4938400983810425,488400
1988-12-01,0.0,2.625,2.25,2.375,1.3515701293945312,176300
1989-01-01,0.0,3.25,2.375,3.0,1.707247018814087,310900
1989-02-01,0.0,3.25,2.375,2.375,1.3515701293945312,184500
1989-03-01,0.0,3.125,2.25,2.875,1.6361114978790283,308600
1989-04-01,0.0,3.125,2.625,2.625,1.4938400983810425,177600
1989-05-01,0.0,2.625,2.375,2.375,1.3515701293945312,114900
1989-06-01,0.0,2.5,1.875,1.875,1.0670289993286133,121000
1989-07-01,0.0,2.125,1.75,1.875,1.0670289993286133,98100
1989-08-01,0.0,2.0,1.625,1.75,0.9958932399749756,329600
1989-09-01,0.0,2.25,1.5,2.0,1.1381642818450928,225700
1989-10-01,0.0,2.625,1.875,1.875,1.0670289993286133,455200
1989-11-01,0.0,2.125,1.75,2.0,1.1381642818450928,57300
1989-12-01,2.0,2.125,1.5,1.5,0.8536235094070435,131500
1990-01-01,1.5,1.75,1.375,1.375,0.7824878692626953,120300
1990-02-01,0.0,1.625,1.375,1.5,0.8536235094070435,51500
1990-03-01,1.5,2.5,1.5,2.25,1.280434489250183,198400
1990-04-01,0.0,2.625,1.875,1.875,1.0670289993286133,194800
1990-05-01,0.0,2.125,1.75,1.875,1.0670289993286133,118300
1990-06-01,0.0,4.0,2.0,3.875,2.205193519592285,1526400
1990-07-01,0.0,6.25,3.625,6.0,3.414494037628174,1296400
1990-08-01,0.0,5.875,4.125,4.625,2.632004737854004,630800
1990-09-01,0.0,5.25,4.375,4.75,2.7031402587890625,254500
1990-10-01,0.0,5.75,4.625,5.625,3.20108699798584,351800
1990-11-01,0.0,5.75,5.0,5.25,2.987680196762085,291700
1990-12-01,0.0,6.125,5.25,5.75,3.2722229957580566,131700
1991-01-01,0.0,6.0,5.375,5.75,3.2722229957580566,404000
1991-02-01,0.0,6.25,5.625,5.875,3.3433573246002197,194500
1991-03-01,0.0,9.5,5.875,9.125,5.192875385284424,447100
1991-04-01,0.0,9.25,8.0,8.75,4.9794697761535645,237100
1991-05-01,0.0,9.875,8.625,9.25,5.264009475708008,114200
1991-06-01,0.0,15.25,9.875,14.125,8.038286209106445,487500
1991-07-01,0.0,15.5,13.5,14.5,8.251693725585938,258500
1991-08-01,14.5,15.25,14.0,14.25,8.109419822692871,159800
1991-09-01,0.0,18.0,14.25,17.0,9.674396514892578,233400
1991-10-01,17.5,18.0,16.0,16.75,9.532127380371094,234100
1991-11-01,16.75,16.75,15.5,16.0,9.105314254760742,223000
1991-12-01,15.75,18.0,15.5,17.5,9.958939552307129,305300
1992-01-01,16.75,18.5,16.25,17.125,9.745530128479004,274800
1992-02-01,17.25,17.5,15.5,17.0,9.674396514892578,363000
1992-03-01,17.0,17.5,15.5,15.5,8.82077407836914,412200
1992-04-01,15.5,15.5,12.0,12.125,6.900120258331299,526700
1992-05-01,12.25,14.5,11.375,13.0,7.398068904876709,330400
1992-06-01,13.0,13.75,12.5,13.25,7.540340423583984,202400
1992-07-01,13.0,13.75,12.25,13.25,7.540340423583984,429700
1992-08-01,13.25,13.75,12.0,12.125,6.900120258331299,192200
1992-09-01,12.0,12.5,10.5,11.25,6.40217399597168,1002200
1992-10-01,11.25,13.0,10.75,13.0,7.398068904876709,673100
1992-11-01,13.0,13.75,12.75,13.5,7.682608127593994,699200
1992-12-01,13.25,14.5,13.25,14.5,8.251693725585938,648500
1993-01-01,14.25,14.5,13.5,13.5,7.682608127593994,248400
1993-02-01,13.5,14.5,13.5,14.0,7.967145919799805,1167900
1993-03-01,14.125,14.5,13.25,13.25,7.540340423583984,602700
1993-04-01,13.75,13.75,12.25,12.25,6.97125768661499,448400
1993-05-01,12.25,12.75,12.0,12.125,6.900120258331299,198400
1993-06-01,12.0,13.25,11.75,13.0,7.398068904876709,709900
1993-07-01,13.25,15.0,13.0,13.5,7.682608127593994,647600
1993-08-01,13.5,13.5,11.5,12.375,7.042394161224365,262900
1993-09-01,12.5,13.875,11.75,12.125,6.900120258331299,402700
1993-10-01,12.125,12.5,10.625,10.875,6.1887664794921875,526800
1993-11-01,10.875,10.875,9.75,10.75,6.1176323890686035,446200
1993-12-01,10.875,12.125,10.75,11.375,6.473311901092529,285900
1994-01-01,11.375,15.0,11.125,14.375,8.18055534362793,2017500
1994-02-01,14.5,14.5,12.125,13.125,7.469203472137451,308000
1994-03-01,13.125,14.0,12.625,12.625,7.184659481048584,561500
1994-04-01,12.5,13.375,11.75,12.125,6.900120258331299,608700
1994-05-01,12.25,12.25,11.125,11.875,6.75784969329834,277400
1994-06-01,11.75,12.125,10.375,11.625,6.615577697753906,896500
1994-07-01,11.875,13.75,11.375,12.875,7.326928615570068,1791800
1994-08-01,13.125,14.625,12.75,14.625,8.322826385498047,1296200
1994-09-01,14.625,15.125,13.875,14.875,8.46509838104248,2025800
1994-10-01,14.875,15.125,13.125,13.5,7.682608127593994,1290500
1994-11-01,13.375,14.875,11.5,12.0,6.828988075256348,2226100
1994-12-01,12.0,12.0,11.0,11.375,6.473311901092529,1236400
1995-01-01,11.5,12.125,10.625,12.125,6.900120258331299,1038300
1995-02-01,12.0,12.5,10.75,11.125,6.3310370445251465,1518400
1995-03-01,11.25,12.125,10.0,12.0,6.828988075256348,2919900
1995-04-01,12.0,15.25,11.5,15.0,8.536231994628906,5229900
1995-05-01,14.875,16.625,14.375,14.875,8.46509838104248,4353000
1995-06-01,14.875,15.5,14.625,15.5,8.82077407836914,2657800
1995-07-01,15.5,19.125,14.375,19.0,10.81256103515625,4928800
1995-08-01,18.75,22.0,18.75,19.5,11.097101211547852,8408000
1995-09-01,19.375,21.125,18.5,19.5,11.097101211547852,2856400
1995-10-01,19.375,21.625,19.25,21.0,11.95072078704834,7714100
1995-11-01,20.875,22.5,19.5,21.0,11.95072078704834,4473300
1995-12-01,21.0,21.5,17.0,18.875,10.741426467895508,10269500
1996-01-01,18.75,21.125,17.25,20.75,11.808459281921387,6611100
